frequency_hz,eta,gain,eta_g,lcoe_per_mwh,f_recirc,p_net_mw,power_positive,viable,attractive
1.0,0.02,10.0,0.2,nan,10.416666666666666,-9.52,False,False,False
1.0,0.02,15.0,0.3,nan,6.944444444444445,-9.28,False,False,False
1.0,0.02,20.0,0.4,nan,5.208333333333333,-9.04,False,False,False
1.0,0.02,25.0,0.5,nan,4.166666666666667,-8.8,False,False,False
1.0,0.02,30.0,0.6,nan,3.4722222222222223,-8.56,False,False,False
1.0,0.02,35.0,0.7,nan,2.9761904761904754,-8.32,False,False,False
1.0,0.02,40.0,0.8,nan,2.6041666666666665,-8.08,False,False,False
1.0,0.02,45.0,0.9,nan,2.3148148148148144,-7.84,False,False,False
1.0,0.02,50.0,1.0,nan,2.0833333333333335,-7.6,False,False,False
1.0,0.02,55.0,1.1,nan,1.8939393939393938,-7.36,False,False,False
1.0,0.02,60.0,1.2,nan,1.7361111111111112,-7.12,False,False,False
1.0,0.02,65.0,1.3,nan,1.6025641025641022,-6.879999999999999,False,False,False
1.0,0.02,70.0,1.4,nan,1.4880952380952377,-6.639999999999999,False,False,False
1.0,0.02,75.0,1.5,nan,1.3888888888888888,-6.4,False,False,False
1.0,0.02,80.0,1.6,nan,1.3020833333333333,-6.16,False,False,False
1.0,0.02,85.0,1.7,nan,1.2254901960784312,-5.920000000000001,False,False,False
1.0,0.02,90.0,1.8,nan,1.1574074074074072,-5.680000000000001,False,False,False
1.0,0.02,95.0,1.9,nan,1.0964912280701753,-5.44,False,False,False
1.0,0.02,100.0,2.0,nan,1.0416666666666667,-5.2,False,False,False
1.0,0.02,105.0,2.1,nan,0.9920634920634921,-4.96,False,False,False
1.0,0.02,110.0,2.2,nan,0.9469696969696969,-4.72,False,False,False
1.0,0.02,115.0,2.3,nan,0.9057971014492753,-4.480000000000001,False,False,False
1.0,0.02,120.0,2.4,nan,0.8680555555555556,-4.24,False,False,False
1.0,0.02,125.0,2.5,nan,0.8333333333333333,-4.0,False,False,False
1.0,0.02,130.0,2.6,nan,0.8012820512820511,-3.76,False,False,False
1.0,0.02,135.0,2.7,nan,0.7716049382716048,-3.52,False,False,False
1.0,0.02,140.0,2.8,nan,0.7440476190476188,-3.2799999999999994,False,False,False
1.0,0.02,145.0,2.9,nan,0.7183908045977011,-3.0400000000000005,False,False,False
1.0,0.02,150.0,3.0,nan,0.6944444444444444,-2.8000000000000003,False,False,False
1.0,0.02,155.0,3.1,nan,0.6720430107526881,-2.560000000000001,False,False,False
1.0,0.02,160.0,3.2,nan,0.6510416666666666,-2.32,False,False,False
1.0,0.02,165.0,3.3,nan,0.6313131313131313,-2.0799999999999996,False,False,False
1.0,0.02,170.0,3.4,nan,0.6127450980392156,-1.8400000000000005,False,False,False
1.0,0.02,175.0,3.5,nan,0.5952380952380952,-1.6000000000000003,False,False,False
1.0,0.02,180.0,3.6,nan,0.5787037037037036,-1.3600000000000012,False,False,False
1.0,0.02,185.0,3.7,nan,0.563063063063063,-1.12,False,False,False
1.0,0.02,190.0,3.8,nan,0.5482456140350876,-0.8799999999999997,False,False,False
1.0,0.02,195.0,3.9,nan,0.5341880341880342,-0.6400000000000006,False,False,False
1.0,0.02,200.0,4.0,nan,0.5208333333333334,-0.40000000000000036,False,False,False
1.0,0.02,205.0,4.1,nan,0.508130081300813,-0.16000000000000014,False,False,False
