LCOE: 133.7 $/MWh   (1 GWe NOAK projection)
Native LCOE = 171.7 $/MWh   (P_native, n_mod=1, overrides on)
Generic LCOE = 171.7 $/MWh   (P_native, n_mod=1, overrides off)
Overnight: generic 13431 $/kW   native 13431 $/kW   1 GWe 11242 $/kW

CAS               generic           native            1 GWe
--------------------------------------------------------
CAS10                16.6             16.6             17.2
CAS21               304.0            304.0            304.0
CAS22              1588.5           1588.5           6565.5
CAS23                69.6             69.6            298.5
CAS24                29.6             29.6            127.2
CAS25                18.0             18.0             77.4
CAS26                30.1             30.1            129.0
CAS27                 3.5              3.5              3.5
CAS28                 5.0              5.0              5.0
CAS29                 0.0              0.0              0.0
CAS30               409.7            409.7           1502.0
CAS40                18.8             18.8             18.8
CAS50               131.7            131.7            381.1
CAS60               504.6            504.6           1812.4
CAS70                63.0             63.0            151.3
CAS80                 0.2              0.2              0.9
CAS90               234.7            234.7            843.2
--------------------------------------------------------
TOTAL              3129.5           3129.5          11241.6

--- CAS22 sub-account detail (overrides marked) ---
code            generic       native        1 GWe  flag
C220000          1588.5       1588.5       6565.5
C220101           136.2        136.2        136.2
C220102            91.2         91.2         91.2
C220103           516.1        516.1        516.1
C220104           272.7        272.7        272.7
C220105            10.1         10.1         10.1
C220106            48.8         48.8         48.8
C220106_pump          0.3          0.3          0.3
C220106_vessel         48.6         48.6         48.6
C220107            38.5         38.5         38.5
C220108            56.3         56.3         56.3
C220109             0.0          0.0          0.0
C220110            89.0         89.0         89.0
C220111           176.3        176.3        176.3
C220112             0.0          0.0          0.0
C220200            57.7         57.7        208.3
C220300            12.4         12.4         15.5
C220400             1.7          1.7          7.4
C220500            43.3         43.3        120.0
C220600             3.6          3.6         11.5
C220700            34.6         34.6         89.3
