LCOE: 102.8 $/MWh   (1 GWe NOAK projection)
Native LCOE = 102.8 $/MWh   (P_native, n_mod=1, overrides on)
Generic LCOE = 102.8 $/MWh   (P_native, n_mod=1, overrides off)
Overnight: generic 8235 $/kW   native 8235 $/kW   1 GWe 8235 $/kW

CAS               generic           native            1 GWe
--------------------------------------------------------
CAS10                18.5             18.5             18.5
CAS21               758.3            758.3            758.3
CAS22              3961.3           3961.3           3961.3
CAS23               296.5            296.5            296.5
CAS24               126.3            126.3            126.3
CAS25                76.9             76.9             76.9
CAS26               128.1            128.1            128.1
CAS27                 8.3              8.3              8.3
CAS28                 5.0              5.0              5.0
CAS29                 0.0              0.0              0.0
CAS30              1072.1           1072.1           1072.1
CAS40                39.0             39.0             39.0
CAS50               416.7            416.7            416.7
CAS60              1327.6           1327.6           1327.6
CAS70               112.5            112.5            112.5
CAS80                35.6             35.6             35.6
CAS90               617.7            617.7            617.7
--------------------------------------------------------
TOTAL              8234.6           8234.6           8234.6

--- CAS22 sub-account detail (overrides marked) ---
code            generic       native        1 GWe  flag
C220000          3961.3       3961.3       3961.3
C220101           269.9        269.9        269.9
C220102           163.5        163.5        163.5
C220103             0.0          0.0          0.0
C220104             1.2          1.2          1.2
C220105            14.3         14.3         14.3
C220106            39.4         39.4         39.4
C220106_pump          0.9          0.9          0.9
C220106_vessel         38.6         38.6         38.6
C220107          2184.5       2184.5       2184.5
C220108           324.1        324.1        324.1
C220109             0.0          0.0          0.0
C220110            91.9         91.9         91.9
C220111           432.4        432.4        432.4
C220112             0.0          0.0          0.0
C220200           208.2        208.2        208.2
C220300             4.1          4.1          4.1
C220400             7.3          7.3          7.3
C220500           120.0        120.0        120.0
C220600            11.5         11.5         11.5
C220700            88.9         88.9         88.9
