LCOE: 187.2 $/MWh   (1 GWe NOAK projection)
Native LCOE = 187.2 $/MWh   (P_native, n_mod=1, overrides on)
Generic LCOE = 187.2 $/MWh   (P_native, n_mod=1, overrides off)
Overnight: generic 13742 $/kW   native 13742 $/kW   1 GWe 13742 $/kW

CAS               generic           native            1 GWe
--------------------------------------------------------
CAS10                18.5             18.5             18.5
CAS21               644.8            644.8            644.8
CAS22              7904.4           7904.4           7904.4
CAS23               241.2            241.2            241.2
CAS24               102.7            102.7            102.7
CAS25                62.5             62.5             62.5
CAS26               104.2            104.2            104.2
CAS27                15.0             15.0             15.0
CAS28                 5.0              5.0              5.0
CAS29                 0.0              0.0              0.0
CAS30              1816.0           1816.0           1816.0
CAS40                39.0             39.0             39.0
CAS50               573.4            573.4            573.4
CAS60              2215.6           2215.6           2215.6
CAS70               362.3            362.3            362.3
CAS80                 0.8              0.8              0.8
CAS90              1030.8           1030.8           1030.8
--------------------------------------------------------
TOTAL             13742.4          13742.4          13742.4

--- CAS22 sub-account detail (overrides marked) ---
code            generic       native        1 GWe  flag
C220000          7904.4       7904.4       7904.4
C220101          1957.5       1957.5       1957.5
C220102          1143.7       1143.7       1143.7
C220103          2322.5       2322.5       2322.5
C220104           375.0        375.0        375.0
C220105            86.9         86.9         86.9
C220106           301.4        301.4        301.4
C220106_pump          0.8          0.8          0.8
C220106_vessel        300.6        300.6        300.6
C220107            92.0         92.0         92.0
C220108           104.8        104.8        104.8
C220109             0.0          0.0          0.0
C220110           165.7        165.7        165.7
C220111           916.9        916.9        916.9
C220112             0.0          0.0          0.0
C220200           203.6        203.6        203.6
C220300            19.2         19.2         19.2
C220400             6.0          6.0          6.0
C220500           120.0        120.0        120.0
C220600            11.5         11.5         11.5
C220700            77.7         77.7         77.7
