LCOE: 49.7 $/MWh   (1 GWe NOAK projection)
Native LCOE = 157.5 $/MWh   (P_native, n_mod=1, overrides on)
Generic LCOE = 157.5 $/MWh   (P_native, n_mod=1, overrides off)
Overnight: generic 10645 $/kW   native 10645 $/kW   1 GWe 4190 $/kW

CAS               generic           native            1 GWe
--------------------------------------------------------
CAS10                16.1             16.1             16.6
CAS21               199.9            199.9            760.8
CAS22                93.4             93.4           1389.3
CAS23                14.8             14.8            296.5
CAS24                 6.3              6.3            126.3
CAS25                 3.8              3.8             76.9
CAS26                 6.4              6.4            128.1
CAS27                 1.9              1.9              1.9
CAS28                 5.0              5.0              5.0
CAS29                 0.0              0.0              0.0
CAS30                66.3             66.3            556.9
CAS40                 8.7              8.7              8.7
CAS50                23.8             23.8            147.1
CAS60                85.8             85.8            675.5
CAS70                18.7             18.7             55.1
CAS80                 0.0              0.0              0.9
CAS90                39.9             39.9            314.3
--------------------------------------------------------
TOTAL               532.3            532.3           4189.5

--- CAS22 sub-account detail (overrides marked) ---
code            generic       native        1 GWe  flag
C220000            93.4         93.4       1389.3
C220101            10.1         10.1         10.1
C220102             7.8          7.8          7.8
C220103             0.0          0.0          0.0
C220104             0.3          0.3          0.3
C220105             0.7          0.7          0.7
C220106             2.1          2.1          2.1
C220106_pump          0.1          0.1          0.1
C220106_vessel          2.0          2.0          2.0
C220107             0.4          0.4          0.4
C220108             0.0          0.0          0.0
C220109             0.0          0.0          0.0
C220110            20.5         20.5         20.5
C220111             5.9          5.9          5.9
C220112             0.0          0.0          0.0
C220200            16.4         16.4        208.2
C220300             0.2          0.2          4.1
C220400             0.4          0.4          7.4
C220500            14.7         14.7        120.0
C220600             1.0          1.0         11.5
C220700            12.7         12.7         88.9
