LCOE: 112.7 $/MWh   (1 GWe NOAK projection)
Native LCOE = 92.1 $/MWh   (P_native, n_mod=1, overrides on)
Generic LCOE = 92.1 $/MWh   (P_native, n_mod=1, overrides off)
Overnight: generic 5218 $/kW   native 5218 $/kW   1 GWe 5832 $/kW

CAS               generic           native            1 GWe
--------------------------------------------------------
CAS10                19.8             19.8             18.5
CAS21               958.4            958.4            696.9
CAS22              3198.2           3198.2           2474.8
CAS23               395.3            395.3            263.5
CAS24               168.4            168.4            112.2
CAS25               102.5            102.5             68.3
CAS26               170.8            170.8            113.9
CAS27                 6.7              6.7              6.7
CAS28                 5.0              5.0              5.0
CAS29                 0.0              0.0              0.0
CAS30              1001.0           1001.0            748.3
CAS40                47.8             47.8             39.0
CAS50               491.2            491.2            345.0
CAS60              1261.9           1261.9            940.3
CAS70               170.3            170.3            130.9
CAS80               271.4            271.4            271.0
CAS90               587.1            587.1            437.5
--------------------------------------------------------
TOTAL              7826.8           7826.8           5832.3

--- CAS22 sub-account detail (overrides marked) ---
code            generic       native        1 GWe  flag
C220000          3198.2       3198.2       2474.8
C220101           257.8        257.8        202.1
C220102           180.0        180.0        141.1
C220103             0.0          0.0          0.0
C220104           868.2        868.2        567.5
C220105            11.4         11.4          9.3
C220106            42.7         42.7         33.4
C220106_pump          0.6          0.6          0.4
C220106_vessel         42.1         42.1         33.0
C220107            21.2         21.2         13.8
C220108           785.2        785.2        730.2
C220109             0.0          0.0          0.0
C220110           106.1        106.1         86.6
C220111           318.2        318.2        249.8
C220112             0.0          0.0          0.0
C220200           298.4        298.4        205.5
C220300            16.9         16.9         15.1
C220400             9.8          9.8          6.5
C220500           159.4        159.4        120.0
C220600            15.9         15.9         11.5
C220700           107.2        107.2         82.3
