LCOE: 92.9 $/MWh   (1 GWe NOAK projection)
Native LCOE = 70.2 $/MWh   (P_native, n_mod=1, overrides on)
Generic LCOE = 70.2 $/MWh   (P_native, n_mod=1, overrides off)
Overnight: generic 5323 $/kW   native 5323 $/kW   1 GWe 6642 $/kW

CAS               generic           native            1 GWe
--------------------------------------------------------
CAS10                23.0             23.0             18.5
CAS21              1583.6           1583.6            670.4
CAS22              6512.0           6512.0           3066.0
CAS23               708.0            708.0            251.1
CAS24               301.5            301.5            106.9
CAS25               183.5            183.5             65.1
CAS26               305.9            305.9            108.5
CAS27                42.3             42.3             15.0
CAS28                 5.0              5.0              5.0
CAS29                 0.0              0.0              0.0
CAS30              1928.4           1928.4            857.6
CAS40                65.5             65.5             39.0
CAS50               931.9            931.9            367.9
CAS60              2420.1           2420.1           1070.8
CAS70               345.8            345.8            193.0
CAS80                 2.0              2.0              0.7
CAS90              1125.9           1125.9            498.2
--------------------------------------------------------
TOTAL             15010.8          15010.8           6641.7

--- CAS22 sub-account detail (overrides marked) ---
code            generic       native        1 GWe  flag
C220000          6512.0       6512.0       3066.0
C220101          1578.6       1578.6        847.5
C220102           905.7        905.7        486.2
C220103             0.0          0.0          0.0
C220104          1308.3       1308.3        442.1
C220105            56.0         56.0         33.3
C220106           211.4        211.4        113.3
C220106_pump          1.1          1.1          0.4
C220106_vessel        210.4        210.4        112.9
C220107            31.9         31.9         10.8
C220108           596.1        596.1        288.5
C220109             0.0          0.0          0.0
C220110           141.9        141.9         84.5
C220111           676.2        676.2        322.9
C220112             0.0          0.0          0.0
C220200           536.2        536.2        204.5
C220300            21.2         21.2         14.9
C220400            17.6         17.6          6.2
C220500           247.9        247.9        120.0
C220600            26.4         26.4         11.5
C220700           156.5        156.5         79.8
