LCOE: 89.5 $/MWh   (1 GWe NOAK projection)
Native LCOE = 89.5 $/MWh   (P_native, n_mod=1, overrides on)
Generic LCOE = 89.5 $/MWh   (P_native, n_mod=1, overrides off)
Overnight: generic 4835 $/kW   native 4835 $/kW   1 GWe 4835 $/kW

CAS               generic           native            1 GWe
--------------------------------------------------------
CAS10                18.5             18.5             18.5
CAS21               623.7            623.7            623.7
CAS22              1956.5           1956.5           1956.5
CAS23               225.9            225.9            225.9
CAS24                96.2             96.2             96.2
CAS25                58.6             58.6             58.6
CAS26                97.6             97.6             97.6
CAS27                 6.7              6.7              6.7
CAS28                 5.0              5.0              5.0
CAS29                 0.0              0.0              0.0
CAS30               614.0            614.0            614.0
CAS40                39.0             39.0             39.0
CAS50               313.7            313.7            313.7
CAS60               779.5            779.5            779.5
CAS70               109.8            109.8            109.8
CAS80               193.7            193.7            193.7
CAS90               362.7            362.7            362.7
--------------------------------------------------------
TOTAL              4834.9           4834.9           4834.9

--- CAS22 sub-account detail (overrides marked) ---
code            generic       native        1 GWe  flag
C220000          1956.5       1956.5       1956.5
C220101           184.3        184.3        184.3
C220102           128.7        128.7        128.7
C220103             0.0          0.0          0.0
C220104           188.7        188.7        188.7
C220105             8.6          8.6          8.6
C220106            30.4         30.4         30.4
C220106_pump          0.3          0.3          0.3
C220106_vessel         30.1         30.1         30.1
C220107             4.6          4.6          4.6
C220108           714.9        714.9        714.9
C220109             0.0          0.0          0.0
C220110            80.2         80.2         80.2
C220111           187.7        187.7        187.7
C220112             0.0          0.0          0.0
C220200           202.3        202.3        202.3
C220300            14.5         14.5         14.5
C220400             5.6          5.6          5.6
C220500           120.0        120.0        120.0
C220600            11.5         11.5         11.5
C220700            74.5         74.5         74.5
