LCOE: 116.4 $/MWh   (1 GWe NOAK projection)
Native LCOE = 116.4 $/MWh   (P_native, n_mod=1, overrides on)
Generic LCOE = 116.4 $/MWh   (P_native, n_mod=1, overrides off)
Overnight: generic 8762 $/kW   native 8762 $/kW   1 GWe 8762 $/kW

CAS               generic           native            1 GWe
--------------------------------------------------------
CAS10                18.5             18.5             18.5
CAS21               623.8            623.8            623.8
CAS22              4577.8           4577.8           4577.8
CAS23               227.8            227.8            227.8
CAS24                97.0             97.0             97.0
CAS25                59.1             59.1             59.1
CAS26                98.4             98.4             98.4
CAS27                30.9             30.9             30.9
CAS28                 5.0              5.0              5.0
CAS29                 0.0              0.0              0.0
CAS30              1144.0           1144.0           1144.0
CAS40                39.0             39.0             39.0
CAS50               428.5            428.5            428.5
CAS60              1412.7           1412.7           1412.7
CAS70               208.7            208.7            208.7
CAS80                 0.7              0.7              0.7
CAS90               657.3            657.3            657.3
--------------------------------------------------------
TOTAL              8762.5           8762.5           8762.5

--- CAS22 sub-account detail (overrides marked) ---
code            generic       native        1 GWe  flag
C220000          4577.8       4577.8       4577.8
C220101           858.2        858.2        858.2
C220102           503.9        503.9        503.9
C220103          1368.8       1368.8       1368.8
C220104           237.9        237.9        237.9
C220105            50.9         50.9         50.9
C220106           268.2        268.2        268.2
C220106_pump          0.8          0.8          0.8
C220106_vessel        267.5        267.5        267.5
C220107            88.4         88.4         88.4
C220108           101.9        101.9        101.9
C220109             0.0          0.0          0.0
C220110           161.0        161.0        161.0
C220111           509.5        509.5        509.5
C220112             0.0          0.0          0.0
C220200           202.5        202.5        202.5
C220300            14.6         14.6         14.6
C220400             5.6          5.6          5.6
C220500           120.0        120.0        120.0
C220600            11.5         11.5         11.5
C220700            74.9         74.9         74.9
