concept_id,company,fuel,family,C1,C2,C3,C4,C5,C6,C7,C8,tech_maturity,low_cost_potential,time_to_market,ttm_years_internal,funding_M_usd,cadence_factor,fuel_factor,funding_factor,cluster
15-sheared-flow-stabilized-z-pinch,Zap Energy,D-T,MFE,4.1,3.5,2.5,3.4,1.7,2.0,3.0,2.5,2.739,2.599,4.42,18.8,240,0.7,1.0,0.945,1
01-hts-compact-tokamak,Commonwealth Fusion Systems,D-T,MFE,3.2,2.5,2.3,2.5,2.0,2.5,4.0,2.5,3.162,2.47,4.362,20.2,2000,1.1,1.0,1.175,1
22-projectile-icf,First Light Fusion,D-T,IFE,2.4,3.0,2.9,3.5,1.7,2.0,3.5,2.3,2.837,2.419,4.351,20.4,90,0.7,1.0,0.839,1
07-maglif,Pacific Fusion,D-T,MIF,3.7,3.0,2.8,3.0,2.1,2.0,3.5,2.5,2.958,2.649,4.321,21.1,50,0.7,1.0,0.775,1
14-magnetized-target-fusion-pneumatic-compression,General Fusion,D-T,MIF,2.8,3.0,3.4,2.5,1.8,2.0,2.0,2.5,2.236,2.435,4.318,21.2,350,0.7,1.0,0.986,1
17a-laser-icf-hybrid-drive,Xcimer Energy,D-T,IFE,4.1,3.5,3.2,3.5,1.7,2.0,3.5,2.8,3.13,2.746,4.292,21.8,100,0.85,1.0,0.85,1
26-laser-icf-indirect-drive,Inertia Enterprises,D-T,IFE,3.2,3.5,3.4,3.5,2.4,2.0,4.0,2.5,3.162,2.834,4.216,23.6,50,0.85,1.0,0.775,1
29-negative-triangularity-tokamak,Firefly Fusion,D-T,MFE,3.0,2.5,2.7,3.0,1.7,2.5,4.0,3.3,3.633,2.528,4.176,24.6,50,1.1,1.0,0.775,1
21-spherical-tokamak-hts,Tokamak Energy,D-T,MFE,2.0,2.5,3.1,2.5,2.0,2.5,4.0,2.5,3.162,2.387,4.16,25.0,250,1.1,1.0,0.949,1
20a-type-one-stellarator,Type One Energy,D-T,MFE,2.8,2.5,2.3,3.0,2.0,2.5,4.0,3.5,3.742,2.495,4.128,25.7,80,1.3,1.0,0.826,1
