concept_id,comparables,derivation_signature
01-hts-compact-tokamak,21-spherical-tokamak-hts; 28-hts-tokamak-full-hts; 29-negative-triangularity-tokamak; 33-state-backed-tokamak-best,"v1: cluster=tokamak_family, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
02-acoustic-icf-sonofusion,,v1: fit_grade=None (freeform; no comparables)
03-laser-icf-liquid-jet-target,,"v1: cluster=laser-ife, fuel=DD, driver=laser-dpssl, conversion=thermal"
04-laser-icf,23-laser-icf-nanostructured-target,"v1: cluster=laser-ife, fuel=PB11, driver=laser-dpssl, conversion=direct-electrostatic"
05-planar-coil-stellarator,09-qi-stellarator-hts; 10-large-scale-stellarator; 20a-type-one-stellarator; 20b-renaissance-stellarator; 36-helical-coil-stellarator,"v1: cluster=stellarator, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
06-magnetic-mirror,,"v1: cluster=mirror, fuel=PB11, driver=magnetic-steady-state, conversion=direct-electrostatic"
07-maglif,,"v1: cluster=maglif, fuel=DT, driver=pulsed-power, conversion=thermal"
08-frc-w-direct-conversion,,"v1: cluster=frc, fuel=DHE3, driver=magnetic-pulsed, conversion=inductive-dec"
09-qi-stellarator-hts,05-planar-coil-stellarator; 10-large-scale-stellarator; 20a-type-one-stellarator; 20b-renaissance-stellarator; 36-helical-coil-stellarator,"v1: cluster=stellarator, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
10-large-scale-stellarator,05-planar-coil-stellarator; 09-qi-stellarator-hts; 20a-type-one-stellarator; 20b-renaissance-stellarator; 36-helical-coil-stellarator,"v1: cluster=stellarator, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
11-magnetic-mirror,,"v1: cluster=mirror, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
12-levitated-dipole,19-orbital-levitated-dipole,"v1: cluster=dipole, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
13-electrostatic-hybrid,,"v1: cluster=orbitron, fuel=DT, driver=electrostatic-steady-state, conversion=thermal"
14-magnetized-target-fusion-pneumatic-compression,,"v1: cluster=mtf, fuel=DT, driver=mechanical-pulsed, conversion=thermal"
15-sheared-flow-stabilized-z-pinch,,"v1: cluster=z-pinch, fuel=DT, driver=pulsed-power, conversion=thermal"
16-muon-catalyzed-fusion,,v1: fit_grade=None (freeform; no comparables)
17a-laser-icf-hybrid-drive,17b-laser-icf-fast-ignition; 26-laser-icf-indirect-drive; 30-laser-icf-nif-commercialization; 31-laser-icf-oec-architecture; 32-laser-icf-french-national,"v1: cluster=laser-ife, fuel=DT, driver=laser-krf, conversion=thermal"
17b-laser-icf-fast-ignition,26-laser-icf-indirect-drive; 30-laser-icf-nif-commercialization; 31-laser-icf-oec-architecture; 32-laser-icf-french-national; 17a-laser-icf-hybrid-drive,"v1: cluster=laser-ife, fuel=DT, driver=laser-dpssl, conversion=thermal"
18-p-b11-frc,,"v1: cluster=frc, fuel=PB11, driver=magnetic-steady-state, conversion=direct-electrostatic"
19-orbital-levitated-dipole,12-levitated-dipole,"v1: cluster=dipole, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
20a-type-one-stellarator,05-planar-coil-stellarator; 09-qi-stellarator-hts; 10-large-scale-stellarator; 20b-renaissance-stellarator; 36-helical-coil-stellarator,"v1: cluster=stellarator, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
20b-renaissance-stellarator,05-planar-coil-stellarator; 09-qi-stellarator-hts; 10-large-scale-stellarator; 20a-type-one-stellarator; 36-helical-coil-stellarator,"v1: cluster=stellarator, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
21-spherical-tokamak-hts,01-hts-compact-tokamak; 28-hts-tokamak-full-hts; 29-negative-triangularity-tokamak; 33-state-backed-tokamak-best,"v1: cluster=tokamak_family, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
22-projectile-icf,,"v1: cluster=projectile-ife, fuel=DT, driver=projectile, conversion=thermal"
23-laser-icf-nanostructured-target,04-laser-icf,"v1: cluster=laser-ife, fuel=PB11, driver=laser-dpssl, conversion=inductive-dec"
24-dense-plasma-focus,,"v1: cluster=dpf, fuel=PB11, driver=pulsed-power, conversion=direct-electrostatic"
25-heavy-ion-beam-icf,,"v1: cluster=heavy-ion-ife, fuel=DT, driver=heavy-ion, conversion=thermal"
26-laser-icf-indirect-drive,17b-laser-icf-fast-ignition; 30-laser-icf-nif-commercialization; 31-laser-icf-oec-architecture; 32-laser-icf-french-national; 17a-laser-icf-hybrid-drive,"v1: cluster=laser-ife, fuel=DT, driver=laser-dpssl, conversion=thermal"
27-polywell,,"v1: cluster=polywell, fuel=PB11, driver=electrostatic-steady-state, conversion=direct-electrostatic"
28-hts-tokamak-full-hts,01-hts-compact-tokamak; 21-spherical-tokamak-hts; 29-negative-triangularity-tokamak; 33-state-backed-tokamak-best,"v1: cluster=tokamak_family, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
29-negative-triangularity-tokamak,01-hts-compact-tokamak; 21-spherical-tokamak-hts; 28-hts-tokamak-full-hts; 33-state-backed-tokamak-best,"v1: cluster=tokamak_family, fuel=DT, driver=magnetic-steady-state, conversion=thermal"
30-laser-icf-nif-commercialization,17b-laser-icf-fast-ignition; 26-laser-icf-indirect-drive; 31-laser-icf-oec-architecture; 32-laser-icf-french-national; 17a-laser-icf-hybrid-drive,"v1: cluster=laser-ife, fuel=DT, driver=laser-dpssl, conversion=thermal"
31-laser-icf-oec-architecture,17b-laser-icf-fast-ignition; 26-laser-icf-indirect-drive; 30-laser-icf-nif-commercialization; 32-laser-icf-french-national; 17a-laser-icf-hybrid-drive,"v1: cluster=laser-ife, fuel=DT, driver=laser-dpssl, conversion=thermal"
