concept_id,name,modularity,supply_chain,plant_complexity,customization,upper_cf,technical_feasibility,data_availability,composite,modularity_evidence,supply_chain_evidence,plant_complexity_evidence,customization_evidence,upper_cf_evidence,technical_feasibility_evidence,data_availability_evidence,composite_evidence,composite_axes_included
01-hts-compact-tokamak,HTS Compact Tokamak (D-T),3.7438,,,,,,,3.7438,medium,,,,,,,medium,"[""modularity""]"
02-acoustic-icf-sonofusion,Acoustic ICF / Sonofusion (D-D),4.6667,,,,,,,4.6667,low,,,,,,,low,"[""modularity""]"
03-laser-icf-liquid-jet-target,Laser ICF - Liquid Jet Target (D-D),4.3333,,,,,,,4.3333,medium,,,,,,,medium,"[""modularity""]"
04-laser-icf,Laser ICF (p-B11),4.3333,,,,,,,4.3333,medium,,,,,,,medium,"[""modularity""]"
05-planar-coil-stellarator,Planar Coil Stellarator (D-T),3.4670,,,,,,,3.4670,medium,,,,,,,medium,"[""modularity""]"
06-magnetic-mirror,Magnetic Mirror (p-B11),3.9167,,,,,,,3.9167,medium,,,,,,,medium,"[""modularity""]"
07-maglif,MagLIF (D-T),4.9167,,,,,,,4.9167,medium,,,,,,,medium,"[""modularity""]"
08-frc-w-direct-conversion,FRC w/ Direct Conversion (D-He3),5.0000,,,,,,,5.0000,medium,,,,,,,medium,"[""modularity""]"
09-qi-stellarator-hts,QI Stellarator - HTS (D-T),3.1569,,,,,,,3.1569,medium,,,,,,,medium,"[""modularity""]"
10-large-scale-stellarator,Large-Scale Stellarator (D-T),2.9584,,,,,,,2.9584,medium,,,,,,,medium,"[""modularity""]"
11-magnetic-mirror,Magnetic Mirror (D-T),4.0833,,,,,,,4.0833,medium,,,,,,,medium,"[""modularity""]"
12-levitated-dipole,Levitated Dipole (D-T),2.7500,,,,,,,2.7500,low,,,,,,,low,"[""modularity""]"
13-electrostatic-hybrid,Electrostatic Hybrid (D-T),4.8333,,,,,,,4.8333,low,,,,,,,low,"[""modularity""]"
14-magnetized-target-fusion-pneumatic-compression,Magnetized Target Fusion - Pneumatic Compression (D-T),4.9167,,,,,,,4.9167,medium,,,,,,,medium,"[""modularity""]"
15-sheared-flow-stabilized-z-pinch,Sheared-Flow Stabilized Z-Pinch (D-T),4.1667,,,,,,,4.1667,low,,,,,,,low,"[""modularity""]"
16-muon-catalyzed-fusion,Muon-Catalyzed Fusion (D-T),2.6667,,,,,,,2.6667,low,,,,,,,low,"[""modularity""]"
17a-laser-icf-hybrid-drive,Laser ICF - Hybrid Direct Drive (D-T),2.9167,,,,,,,2.9167,medium,,,,,,,medium,"[""modularity""]"
17b-laser-icf-fast-ignition,Laser ICF - Direct Drive Fast Ignition (D-T),4.3333,,,,,,,4.3333,medium,,,,,,,medium,"[""modularity""]"
18-p-b11-frc,p-B11 FRC (p-B11),3.6667,,,,,,,3.6667,low,,,,,,,low,"[""modularity""]"
19-orbital-levitated-dipole,Orbital Levitated Dipole (D-He3),2.8333,,,,,,,2.8333,low,,,,,,,low,"[""modularity""]"
20a-type-one-stellarator,Type One Stellarator (D-T),3.0227,,,,,,,3.0227,medium,,,,,,,medium,"[""modularity""]"
20b-renaissance-stellarator,Renaissance Stellarator (D-T),3.0000,,,,,,,3.0000,medium,,,,,,,medium,"[""modularity""]"
21-spherical-tokamak-hts,Spherical Tokamak - HTS (D-T),3.6996,,,,,,,3.6996,medium,,,,,,,medium,"[""modularity""]"
22-projectile-icf,Projectile ICF (D-T),3.8333,,,,,,,3.8333,low,,,,,,,low,"[""modularity""]"
23-laser-icf-nanostructured-target,Laser ICF - Nanostructured Target (p-B11),4.3333,,,,,,,4.3333,medium,,,,,,,medium,"[""modularity""]"
24-dense-plasma-focus,Dense Plasma Focus (p-B11),3.6667,,,,,,,3.6667,low,,,,,,,low,"[""modularity""]"
25-heavy-ion-beam-icf,Heavy Ion Beam ICF (D-T),3.1667,,,,,,,3.1667,medium,,,,,,,medium,"[""modularity""]"
26-laser-icf-indirect-drive,Laser ICF - Indirect Drive (D-T),4.4398,,,,,,,4.4398,medium,,,,,,,medium,"[""modularity""]"
27-polywell,Polywell (D-T),4.3333,,,,,,,4.3333,low,,,,,,,low,"[""modularity""]"
