case_id,arm_id,source,p_net_MW,rec_frac,q_eng,p_et_MW,p_th_MW,recirc_threshold,B_max,beta_limit,wall_load_limit,tbr,tbr_floor
20260823-magnet-technology-ab:c0000,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,18.88814650595253,0.8776547814393643,1.1394001618267129,154.38401866593045,463.61567166946077,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0001,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,34.126721335953285,0.7993653892491221,1.2509923665063138,170.0938896246941,510.7924613354177,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0002,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,50.18900291352165,0.7311105725882578,1.3677821624981117,186.652942797445,560.5193477400751,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0003,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,58.529033732643676,0.7002368238946147,1.4280882779602284,195.25091271406566,586.3390772194164,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0004,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,67.07499123865756,0.6712995983091085,1.4896478450439012,204.06117818418306,612.7963308834326,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0005,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,75.8268754315635,0.6441451810754185,1.5524450533503515,213.0837392077974,639.8911087321243,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0006,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,84.78468631136124,0.6186343026680964,1.6164638716073756,222.3185957849085,667.6234107654909,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0007,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,93.94842387805086,0.5946406027507692,1.6816880572467876,231.76574791551633,695.9932369835325,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0008,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,103.31808813163238,0.5720492723428301,1.7481011660140673,241.425195599621,725.0005873862492,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0009,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,112.89367907210581,0.5507558524410333,1.815686561600478,251.29693883722248,754.6454619736411,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0010,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,122.67519669947114,0.5306651700036368,1.8844274252880526,261.38097762832075,784.9278607457079,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0011,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,132.6626410137285,0.5116903945701808,1.9543067655979718,271.67731197291596,815.8477837024502,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0012,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,142.85601201487762,0.49375220087973193,2.0253074279330248,282.18594187100786,847.4052308438673,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0013,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,153.2553097029186,0.47677802468820574,2.0974121042050147,292.9068673225965,879.6002021699594,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0014,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,163.8605340778516,0.460701400596181,2.1706033424381337,303.84008832768205,912.4326976807268,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0015,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,174.67168513967644,0.4454613721069976,2.244863556339527,314.98560488626435,945.9027173761692,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0016,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,185.6887628883932,0.43100196536418645,2.3201750348284924,326.3434169983435,980.0102612562868,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0017,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,196.911767324002,0.4172717190889427,2.3965199515159257,337.9135246639196,1014.7553293210798,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0018,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,208.3406984465026,0.404223264171915,2.4738803741258764,349.6959278829924,1050.1379215705476,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0019,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,219.97555625589484,0.39181294718655296,2.552238273851304,361.6906266555617,1086.1580380046896,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0020,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,231.81634075217937,0.3800004927991508,2.631575534636345,373.8976209816282,1122.8156786235081,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0021,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,243.86305193535563,0.36874870066721266,2.711873962377639,386.31691086119133,1160.1108434270009,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0022,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,256.1156898054237,0.3580231729548337,2.7931152940375585,398.94849629425124,1198.0435324151688,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0023,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,281.2387456062357,0.3380258845724571,2.958353326298733,424.8485538208615,1275.82148294553,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0024,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,307.18550815461543,0.3197807594850224,3.1271424885299806,451.59779356145924,1356.1495302145922,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0025,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,333.9559774505628,0.3030913712644262,3.2993351009242997,479.1962155160441,1439.0276742223546,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0026,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,361.5501534940776,0.28778773723927553,3.474783219024268,507.6438196846161,1524.455914968817,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0027,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,389.9680362851599,0.2737222108391406,3.653338897615707,536.9406060671752,1612.4342524539793,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0028,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,419.20962582381014,0.2607660901293627,3.834854445621794,567.0865746637218,1702.962686677843,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0029,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,449.2749221100279,0.24880680520079368,4.019182671442501,598.0817254742556,1796.041217640407,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0030,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,480.1639251438131,0.2377455755868753,4.206177118255507,629.9260584987765,1891.669845341671,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0031,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,511.8766349251662,0.22749545106538777,4.395692288865044,662.6195737372847,1989.8485697816354,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0032,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,544.4130514540866,0.2179796665457689,4.587583859754329,696.1622711897801,2090.5773909603004,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0033,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,577.7731747305747,0.20913025536384602,4.781708884064595,730.5541508562626,2193.8563088776655,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0034,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,611.9570047546302,0.20088687605179506,4.9779259832890626,765.7952127367322,2299.6853235337303,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0035,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,646.9645415262539,0.193195816166983,5.176095527532957,801.8854568311896,2408.064434928497,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0036,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,682.7957850454449,0.18600914354160358,5.376079804250783,838.8248831396339,2518.9936430619637,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c0037,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,719.4507353122035,0.17928398073349322,5.577743175429077,876.6134916620654,2632.47294793413,0.5,24.9,0.05,4.05,1.074,1.05
