R,a,rec_frac,p_net_MW,p_net_is_complex,recirc_threshold,source
4.0,0.8,1.8787056929659776,-154.41081632341488,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.0,0.85,1.721598049811134,-138.57989644401138,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.0,0.9,1.5817355313670465,-121.78952687494697,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.0,0.95,1.4570074905006916,-104.03970761622176,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.0,1.0,1.3455482545022392,-85.33043866783576,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.0,1.05,1.245722306301674,-65.66172002978902,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.0,1.1,1.1561034209492094,-45.033551702081226,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.0,1.15,1.0754517783998296,-23.44593368471287,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.0,1.2,1.0026913360745147,-0.8988659776835063,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.5,0.8,1.725965546863561,-139.05962128884173,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.5,0.85,1.5776225787754474,-121.24983642451278,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.5,0.9,1.446239136897716,-102.36067065931537,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.5,0.95,1.3296062442378744,-82.39212399324956,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.5,1.0,1.2258038687564796,-61.34419642631531,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.5,1.05,1.1331724806333348,-39.21688795851256,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
4.5,1.1,1.0502822852818672,-16.010198589841494,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.0,0.8,1.5965380997870116,-123.70842625426862,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.0,0.85,1.456232894715359,-103.91977640501413,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.0,0.9,1.3325053378760592,-82.93181444368369,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.0,0.95,1.223088922731057,-60.74454037027731,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.0,1.0,1.1260396842819416,-37.357954184794735,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.0,1.05,1.039696251335923,-12.772055887236133,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.5,0.8,1.485464469244615,-108.3572312196954,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.5,0.85,1.3525009064365756,-86.5897163855156,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.5,0.9,1.235680827556461,-63.502958228052,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.5,0.95,1.132709499851915,-39.09695674730499,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
5.5,1.0,1.0416400226961058,-13.371711943274189,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
6.0,0.8,1.3890990708620483,-93.00603618512231,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
6.0,0.85,1.2628350258336904,-69.259656366017,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
6.0,0.9,1.152255568043553,-44.074102012420525,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
6.0,0.95,1.0550587743464246,-17.44937312433272,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
6.5,0.8,1.304701853011578,-77.65484115054917,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
6.5,0.85,1.1845558599136317,-51.92959634651843,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
6.5,0.9,1.0796281381190813,-24.645245796788853,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
7.0,0.8,1.2301735768918172,-62.30364611597603,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
7.0,0.85,1.1156239009045799,-34.59953632701983,False,0.5,"oracle (verify_stellaris via oracle_entry) at the package's held p_pump = 195.0 MW; joins results/excluded_points.csv on (R, a)"
