R,a,reason,source,p_net_MW,p_net_is_complex
4.0,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-154.41081632341488,False
4.0,0.85,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-138.57989644401138,False
4.0,0.9,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-121.78952687494697,False
4.0,0.95,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-104.03970761622176,False
4.0,1.0,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-85.33043866783576,False
4.0,1.05,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-65.66172002978902,False
4.0,1.1,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-45.033551702081226,False
4.0,1.15,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-23.44593368471287,False
4.0,1.2,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-0.8988659776835063,False
4.5,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-139.05962128884173,False
4.5,0.85,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-121.24983642451278,False
4.5,0.9,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-102.36067065931537,False
4.5,0.95,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-82.39212399324956,False
4.5,1.0,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-61.34419642631531,False
4.5,1.05,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-39.21688795851256,False
4.5,1.1,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-16.010198589841494,False
5.0,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-123.70842625426862,False
5.0,0.85,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-103.91977640501413,False
5.0,0.9,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-82.93181444368369,False
5.0,0.95,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-60.74454037027731,False
5.0,1.0,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-37.357954184794735,False
5.0,1.05,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-12.772055887236133,False
5.5,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-108.3572312196954,False
5.5,0.85,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-86.5897163855156,False
5.5,0.9,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-63.502958228052,False
5.5,0.95,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-39.09695674730499,False
5.5,1.0,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-13.371711943274189,False
6.0,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-93.00603618512231,False
6.0,0.85,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-69.259656366017,False
6.0,0.9,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-44.074102012420525,False
6.0,0.95,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-17.44937312433272,False
6.5,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-77.65484115054917,False
6.5,0.85,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-51.92959634651843,False
6.5,0.9,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-24.645245796788853,False
7.0,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-62.30364611597603,False
7.0,0.85,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-34.59953632701983,False
7.0,0.9,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-5.216389581157207,False
7.5,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-46.95245108140288,False
7.5,0.85,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-17.269476307521327,False
8.0,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-31.60125604682978,False
8.5,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-16.250061012256626,False
9.0,0.8,"oracle p_net <= 0; the CAS10 land term takes sqrt(p_net), so the package returns execution_failed and the oracle returns complex","oracle (verify_stellaris via oracle_entry), pre-screen before execution",-0.8988659776835063,False
