case_id,arm_id,R,a,is_baseline_point,source,p_net_MW,rec_frac,q_eng,p_et_MW,p_th_MW,recirc_threshold,wall_load_limit,p_pump_MW
20260829-p-pump-fence:c0000,arm-package-default,4.0,1.25,False,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,22.607651419006594,0.9368886653143192,1.0673626835527008,358.21855981340883,1075.7314108510775,0.5,4.05,195.0
20260829-p-pump-fence:c0001,arm-package-default,4.0,1.3,False,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,383.44120629418313,1151.4750939765258,0.5,4.05,195.0
20260829-p-pump-fence:c0002,arm-package-default,4.0,1.35,False,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,72.49903528136933,0.8230232916654621,1.2150324421273784,409.65297616636013,1230.189117616697,0.5,4.05,195.0
20260829-p-pump-fence:c0003,arm-package-default,4.0,1.4,False,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,98.88390174704185,0.7736453567961351,1.2925819191124701,436.85386942994,1311.8734817715915,0.5,4.05,195.0
20260829-p-pump-fence:c0004,arm-package-default,4.0,1.45,False,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,126.22821790237526,0.7285670843561539,1.3725572036838798,465.043886084923,1396.52818644121,0.5,4.05,195.0
20260829-p-pump-fence:c0005,arm-package-default,4.0,1.5,False,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,154.53198374736948,0.6873233832162399,1.4549192191318019,494.2230261313087,1484.1532316255516,0.5,4.05,195.0
20260829-p-pump-fence:c0006,arm-package-default,4.0,1.55,False,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,183.79519928202453,0.6495075281798586,1.539628036032686,524.3912895690975,1574.748617324617,0.5,4.05,195.0
20260829-p-pump-fence:c0007,arm-package-default,4.0,1.6,False,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,214.0178645063405,0.6147630736988656,1.6266429178695891,555.5486763982892,1668.3143435384059,0.5,4.05,195.0
20260829-p-pump-fence:c0008,arm-package-default,4.0,1.65,False,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,245.19997942031705,0.5827769479770682,1.7159223669899675,587.6951866188836,1764.8504102669176,0.5,4.05,195.0
20260829-p-pump-fence:c0009,arm-package-default,4.0,1.7,False,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,277.3415440239545,0.5532735570041225,1.8074241708113097,620.8308202308809,1864.3568175101527,0.5,4.05,195.0
