case_id,arm_id,R,I_coil_A,wp_side_m,source,p_net_MW,rec_frac,q_eng,beta_limit,wall_load_limit,B_max_T,sigma_allow_Pa,recirc_threshold
20260830-stress-fence:c0000,arm-grid-R-I,4.0,2000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0001,arm-grid-R-I,4.0,2500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0002,arm-grid-R-I,4.0,3000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0003,arm-grid-R-I,4.0,3500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0004,arm-grid-R-I,4.0,4000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0005,arm-grid-R-I,4.0,4500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0006,arm-grid-R-I,4.0,5000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0007,arm-grid-R-I,4.0,5500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0008,arm-grid-R-I,4.0,6000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0009,arm-grid-R-I,4.0,6500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0010,arm-grid-R-I,4.0,7000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0011,arm-grid-R-I,4.0,7500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0012,arm-grid-R-I,4.0,8000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0013,arm-grid-R-I,4.0,8500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0014,arm-grid-R-I,4.0,9000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0015,arm-grid-R-I,4.0,9500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0016,arm-grid-R-I,4.0,10000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0017,arm-grid-R-I,4.0,10500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0018,arm-grid-R-I,4.0,11000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0019,arm-grid-R-I,4.0,11500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0020,arm-grid-R-I,4.0,12000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0021,arm-grid-R-I,4.0,12500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0022,arm-grid-R-I,4.0,13000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0023,arm-grid-R-I,4.0,13500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0024,arm-grid-R-I,4.0,14000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0025,arm-grid-R-I,4.0,14500000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
20260830-stress-fence:c0026,arm-grid-R-I,4.0,15000000.0,0.36,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,47.0736185053576,0.877233803428936,1.1399469515324134,0.05,4.05,24.9,800000000.0,0.5
