case_id,arm_id,R,I_coil_A,wp_side_m,is_baseline_point,a,availability,discount_rate,lcoe,lcoe_1cfe,wall_load,p_fus,plasma_volume,beta,B_axis,B_peak,sigma_wp,total_capital,magnet_capital,magnet_capital_1cfe,winding_pack,magnet_structure,overnight_capital,cas72,fuel,beta_ok,net_positive,peak_field_ok,recirc_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible
20260830-stress-fence:c0000,arm-grid-R-I,4.0,2000000.0,0.36,False,1.3,0.85,0.07,1097.1257309639398,1075.8204535078855,3.1312347175040456,865.5297249954552,133.85827224320653,0.15782723702157583,3.7110389610389602,10.26720779220779,34807724.74278967,3272067261.955083,748795636.3636363,821229863.1602889,694363636.3636363,54432000.0,3272067261.955083,21533146.296081077,169192.90216876467,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0001,arm-grid-R-I,4.0,2500000.0,0.36,False,1.3,0.85,0.07,1183.108818903863,1159.945815101996,3.1312347175040456,865.5297249954552,133.85827224320653,0.10100943169380852,4.6387987012987,12.834009740259738,54387069.910608865,3557377113.955083,922386545.4545455,1026537328.9503609,867954545.4545455,54432000.0,3557377113.955083,21533146.296081077,169192.90216876467,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0002,arm-grid-R-I,4.0,3000000.0,0.36,False,1.3,0.85,0.07,1269.0919068437868,1244.0711766961065,3.1312347175040456,865.5297249954552,133.85827224320653,0.07014543867625592,5.566558441558441,15.400811688311686,78317380.67127676,3842686965.955084,1095977454.5454545,1231844794.7404332,1041545454.5454545,54432000.0,3842686965.955084,21533146.296081077,169192.90216876467,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0003,arm-grid-R-I,4.0,3500000.0,0.36,False,1.3,0.85,0.07,1355.0749947837096,1328.1965382902163,3.1312347175040456,865.5297249954552,133.85827224320653,0.05153542433357578,6.494318181818181,17.967613636363634,106598657.02479339,4127996817.955082,1269568363.6363637,1437152260.5305057,1215136363.6363637,54432000.0,4127996817.955082,21533146.296081077,169192.90216876467,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0004,arm-grid-R-I,4.0,4000000.0,0.36,False,1.3,0.85,0.07,1441.0580827236329,1412.3218998843267,3.1312347175040456,865.5297249954552,133.85827224320653,0.03945680925539396,7.4220779220779205,20.53441558441558,139230898.97115868,4413306669.955082,1443159272.7272725,1642459726.3205779,1388727272.7272725,54432000.0,4413306669.955082,21533146.296081077,169192.90216876467,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0005,arm-grid-R-I,4.0,4500000.0,0.36,False,1.3,0.85,0.07,1527.041170663556,1496.4472614784372,3.1312347175040456,865.5297249954552,133.85827224320653,0.031175750522780404,8.349837662337661,23.10121753246753,176214106.51037273,4698616521.955082,1616750181.8181815,1847767192.11065,1562318181.8181815,54432000.0,4698616521.955082,21533146.296081077,169192.90216876467,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0006,arm-grid-R-I,4.0,5000000.0,0.36,False,1.3,0.85,0.07,1613.02425860348,1580.5726230725477,3.1312347175040456,865.5297249954552,133.85827224320653,0.02525235792345213,9.2775974025974,25.668019480519476,217548279.64243546,4983926373.955083,1790341090.909091,2053074657.9007218,1735909090.909091,54432000.0,4983926373.955083,21533146.296081077,169192.90216876467,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0007,arm-grid-R-I,4.0,5500000.0,0.36,False,1.3,0.85,0.07,1699.0073465434025,1664.6979846666582,3.1312347175040456,865.5297249954552,133.85827224320653,0.020869717292109194,10.205357142857142,28.234821428571426,263233418.36734697,5269236225.955082,1963932000.0,2258382123.6907945,1909500000.0,54432000.0,5269236225.955082,21533146.296081077,169192.90216876467,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0008,arm-grid-R-I,4.0,6000000.0,0.36,False,1.3,0.85,0.07,1784.990434483326,1748.8233462607684,3.1312347175040456,865.5297249954552,133.85827224320653,0.01753635966906398,11.133116883116882,30.801623376623372,313269522.68510705,5554546077.955082,2137522909.090909,2463689589.4808664,2083090909.090909,54432000.0,5554546077.955082,21533146.296081077,169192.90216876467,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0009,arm-grid-R-I,4.0,6500000.0,0.36,False,1.3,0.85,0.07,1870.9735224232497,1832.948707854879,3.1312347175040456,865.5297249954552,133.85827224320653,0.014942223623344455,12.060876623376622,33.36842532467532,367656592.59571594,5839855929.955083,2311113818.1818185,2668997055.270939,2256681818.1818185,54432000.0,5839855929.955083,21533146.296081077,169192.90216876467,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0010,arm-grid-R-I,4.0,7000000.0,0.36,False,1.3,0.85,0.07,1956.9566103631728,1917.0740694489896,3.1312347175040456,865.5297249954552,133.85827224320653,0.012883856083393945,12.988636363636362,35.93522727272727,426394628.09917355,6125165781.955083,2484704727.2727275,2874304521.0610113,2430272727.2727275,54432000.0,6125165781.955083,21533146.296081077,169192.90216876467,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0011,arm-grid-R-I,4.0,7500000.0,0.36,False,1.3,0.85,0.07,2042.9396983030956,2001.1994310430998,3.1312347175040456,865.5297249954552,133.85827224320653,0.011223270188200948,13.916396103896101,38.502029220779214,489483629.1954798,6410475633.955082,2658295636.3636365,3079611986.851083,2603863636.3636365,54432000.0,6410475633.955082,21533146.296081077,169192.90216876467,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False
20260830-stress-fence:c0012,arm-grid-R-I,4.0,8000000.0,0.36,False,1.3,0.85,0.07,2128.922786243019,2085.32479263721,3.1312347175040456,865.5297249954552,133.85827224320653,0.00986420231384849,14.844155844155841,41.06883116883116,556923595.8846347,6695785485.955082,2831886545.454545,3284919452.6411557,2777454545.454545,54432000.0,6695785485.955082,21533146.296081077,169192.90216876467,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False
