case_id,arm_id,I_coil_A,n_e0,T_i0_keV,p_input_MW,source,p_net_MW,rec_frac,q_eng,p_aux_required_MW,p_input_installed_MW,tau_E_s,p_rad_MW,n_He0,n_D0,W_th_MJ,beta_limit,wall_load_limit,B_max_T,sigma_allow_Pa,recirc_threshold
20260901-sustainment-fence:c0000,arm-grid-I-ne,8000000.0,3.036e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,278.42743597728,0.552331693453782,1.8105062806497778,759.9267166678203,50.0,0.36023902603115837,79.28500399290594,7.815892889963615e+18,1.4398410711003639e+20,346.80012250177754,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0001,arm-grid-I-ne,8000000.0,3.542e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,469.04128078829075,0.42692176021479455,2.342349566573688,878.2819267930296,50.0,0.3513087342758507,107.28603899538746,1.0236896343192513e+19,1.668631036568075e+20,403.93698963244236,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0002,arm-grid-I-ne,8000000.0,4.048e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,685.058718304278,0.34202220292073077,2.9237867935485062,991.637655483918,50.0,0.34383123762998125,139.562544974825,1.2919169945391006e+19,1.89480830054609e+20,460.9189308103036,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0003,arm-grid-I-ne,8000000.0,4.554e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,925.6836238554583,0.28198427188467656,3.5462970800334963,1099.904378633349,50.0,0.3374321186890711,176.11677890217504,1.5849136923430527e+19,2.1185086307656948e+20,517.753996685316,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0004,arm-grid-I-ne,8000000.0,5.06e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1190.1747027989181,0.23799359603110773,4.201793731749369,1203.0723061929316,50.0,0.3318621937459069,216.95035953576559,1.9014857155292148e+19,2.3398514284470786e+20,574.4492674187136,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0005,arm-grid-I-ne,8000000.0,5.566e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1477.8387406848808,0.20480328424610145,4.882734198726775,1301.1834976868513,50.0,0.32694775369723583,262.0644927171875,2.2405690702487196e+19,2.558943092975128e+20,631.0110521989537,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0006,arm-grid-I-ne,8000000.0,6.072e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1788.0251509019417,0.17914098474097107,5.58219550621512,1394.314428681599,50.0,0.3225631732697362,311.46010410246623,2.601205728947818e+19,2.7758794271052182e+20,687.44503186375,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0007,arm-grid-I-ne,8000000.0,6.578e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,2120.1214756810764,0.1588835368843117,6.293918297703384,1482.5646370830862,50.0,0.3186148495569969,365.13792184485874,2.9825258052551856e+19,2.9907474194744816e+20,743.7563645980484,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0008,arm-grid-I-ne,8000000.0,7.084e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,2473.549617960334,0.1426060777567906,7.012323848535146,1566.0490893314181,50.0,0.3150312928767558,423.0985304668304,3.383733907325453e+19,3.203626609267455e+20,799.9497668549137,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0009,arm-grid-I-ne,9000000.0,3.036e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,262.8813214353351,0.5661475813588085,1.7663238931444414,546.2447724148639,50.0,0.46679430939197575,80.04308682426753,9.844401726640093e+18,1.419555982733599e+20,345.5972730161708,0.05,4.05,24.9,800000000.0,0.5
