case_id,arm_id,I_coil_A,n_e0,T_i0_keV,p_input_MW,is_baseline_point,R,a,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,beta,B_axis,B_peak,sigma_wp,total_capital,magnet_capital,heating_capital,overnight_capital,cas72,fuel,beta_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible
20260901-sustainment-fence:c0000,arm-grid-I-ne,8000000.0,3.036e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,468.5897362780773,459.2086952007778,1483.00525348332,1.6897894563422695,0.06254827647396692,4.675324675324674,12.935064935064931,175409006.5778377,8521587555.514193,2831886545.454545,264145000.0,8521587555.514193,29206898.15775579,289896.41317019466,violated,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False
20260901-sustainment-fence:c0001,arm-grid-I-ne,8000000.0,3.542e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,311.99400027032095,305.926220957056,1991.7471702924818,2.269468270698639,0.07285338402803596,4.675324675324674,12.935064935064931,175409006.5778377,9285350221.916578,2831886545.454545,264145000.0,9285350221.916578,54132823.241979785,389344.7843515475,violated,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260901-sustainment-fence:c0002,arm-grid-I-ne,8000000.0,4.048e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,239.41142361302553,234.89076830324677,2568.2904184235244,2.9264023574315408,0.08313054940244528,4.675324675324674,12.935064935064931,175409006.5778377,10103844107.332592,2831886545.454545,264145000.0,10103844107.332592,87819967.74732658,502046.893314483,violated,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260901-sustainment-fence:c0003,arm-grid-I-ne,8000000.0,4.554e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,198.37858198961047,194.74471135884923,3210.510168009415,3.6581706090651926,0.0933812245986404,4.675324675324674,12.935064935064931,175409006.5778377,10974619899.188684,2831886545.454545,264145000.0,10974619899.188684,131163004.77013877,627587.3803995505,violated,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260901-sustainment-fence:c0004,arm-grid-I-ne,8000000.0,5.06e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,172.5043035943513,169.44085888575424,3916.427928673808,4.462518662596113,0.10360668658238231,4.675324675324674,12.935064935064931,175409006.5778377,11895376878.046059,2831886545.454545,264145000.0,11895376878.046059,184912917.80942565,765579.4922474842,violated,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260901-sustainment-fence:c0005,arm-grid-I-ne,8000000.0,5.566e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,155.0285011699996,152.36045661070636,4684.193534452694,5.33733837246573,0.11380807326810165,4.675324675324674,12.935064935064931,175409006.5778377,12864045589.911139,2831886545.454545,264145000.0,12864045589.911139,249712922.88357592,915661.5602293452,violated,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260901-sustainment-fence:c0006,arm-grid-I-ne,8000000.0,6.072e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,142.6624624002104,140.2833231852422,5512.070591643584,6.2806512293170265,0.12398640924196458,4.675324675324674,12.935064935064931,175409006.5778377,13878768245.498026,2831886545.454545,264145000.0,13878768245.498026,326117385.18183273,1077494.1558063468,violated,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260901-sustainment-fence:c0007,arm-grid-I-ne,8000000.0,6.578e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,134.58216242359956,132.42257701742545,6398.424471137101,7.290594678025827,0.13414262482537856,4.675324675324674,12.935064935064931,175409006.5778377,14937866509.135378,2831886545.454545,264145000.0,14937866509.135378,429815194.9166021,1250757.7432826052,violated,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260901-sustainment-fence:c0008,arm-grid-I-ne,8000000.0,7.084e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,127.81440206026258,125.82683761740905,7341.712251391059,8.365410658364206,0.14427757066974523,4.675324675324674,12.935064935064931,175409006.5778377,16039812604.982098,2831886545.454545,264145000.0,16039812604.982098,533450844.2268406,1435150.7138675693,violated,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260901-sustainment-fence:c0009,arm-grid-I-ne,9000000.0,3.036e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,522.3156454809508,511.7898170246249,1441.5131985969326,1.6425119185828385,0.049249447979985886,5.259740259740259,14.55194805194805,222002023.9500759,9027623989.379124,3179068363.636363,264145000.0,9027623989.379124,27866904.622392084,281785.5869554041,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False
20260901-sustainment-fence:c0010,arm-grid-I-ne,9000000.0,3.542e+20,14.63,50.0,False,12.7,1.3,0.85,0.07,342.3399140773717,335.62549676640776,1929.6431784718343,2.19870475160199,0.05734159977203482,5.259740259740259,14.55194805194805,222002023.9500759,9765149605.135342,3179068363.636363,264145000.0,9765149605.135342,51495711.83795323,377204.7569106,violated,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
