case_id,arm_id,I_coil_A,n_e0,j_wp,p_input_MW,T_i0_keV,is_baseline_point,R,a,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,beta,B_axis,B_peak,sigma_wp,eps_cond,wp_side,c_coil,vol_cold,p_cryo,total_capital,magnet_capital,heating_capital,overnight_capital,cas72,fuel,beta_ok,cond_strain_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible
20260903-priced-levers:c0000,arm-fence-p50,15000000.0,5.06e+20,90.0,50.0,14.63,False,12.7,1.3,0.85,0.07,296.07056133560684,290.31336568639057,2786.253121308193,3.17475689046187,0.028356109189914915,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,14399674870.665232,5262159272.727273,264145000.0,14399674870.665232,99033025.80525981,544654.0288069109,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260903-priced-levers:c0004,arm-fence-p50,15000000.0,5.06e+20,90.0,50.0,17.0,False,12.7,1.3,0.85,0.07,224.64180211464495,220.45320345286524,3819.558567959709,4.352142233387366,0.03291350135682031,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,15767044931.27299,5262159272.727273,264145000.0,15767044931.27299,178467503.17752606,746643.5645755173,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0008,arm-fence-p50,15000000.0,5.06e+20,90.0,50.0,18.0,False,12.7,1.3,0.85,0.07,205.2686257282928,201.49272995840747,4284.532419769373,4.881950142305647,0.03484883985323279,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,16359680928.868258,5262159272.727273,264145000.0,16359680928.868258,209392674.79737902,837536.1973163274,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0012,arm-fence-p50,15000000.0,5.06e+20,90.0,50.0,19.0,False,12.7,1.3,0.85,0.07,191.11013258603003,187.6621886345206,4763.86749077273,5.428121740237654,0.03679139342188612,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,16959066725.570883,5262159272.727273,264145000.0,16959066725.570883,255545084.89314675,931236.1471069074,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0001,arm-fence-p50,15000000.0,5.5660000000000007e+20,90.0,50.0,14.63,False,12.7,1.3,0.85,0.07,255.38788423242454,250.52065553984934,3269.5217830209103,3.725410562945286,0.031091204524620192,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,15049034474.849598,5262159272.727273,264145000.0,15049034474.849598,134663364.1143556,639122.9130532825,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260903-priced-levers:c0005,arm-fence-p50,15000000.0,5.5660000000000007e+20,90.0,50.0,17.0,False,12.7,1.3,0.85,0.07,199.70422338787077,196.07187309639374,4479.924799483019,5.104587238374072,0.03608687474263594,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,16605327215.192408,5262159272.727273,264145000.0,16605327215.192408,234753009.43567702,875731.3081608296,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0009,arm-fence-p50,15000000.0,5.5660000000000007e+20,90.0,50.0,18.0,False,12.7,1.3,0.85,0.07,185.2339735786746,181.93477670952288,5025.241786627869,5.725941001671489,0.038208783187236695,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,17281547791.31595,5262159272.727273,264145000.0,17281547791.31595,287414436.9917773,982329.3382370915,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0013,arm-fence-p50,15000000.0,5.5660000000000007e+20,90.0,50.0,19.0,False,12.7,1.3,0.85,0.07,173.85431705539,170.8224402115491,5587.869763487051,6.367019528471544,0.040338860426244565,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,17966494501.57692,5262159272.727273,264145000.0,17966494501.57692,345383096.22359717,1092311.3036128567,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0002,arm-fence-p50,15000000.0,6.072e+20,90.0,50.0,14.63,False,12.7,1.3,0.85,0.07,226.60383989306814,222.373391754068,3778.981986158591,4.305907818545687,0.033814804336345115,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,15714743785.20119,5262159272.727273,264145000.0,15714743785.20119,175768475.1682255,738711.6941420026,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0006,arm-fence-p50,15000000.0,6.072e+20,90.0,50.0,17.0,False,12.7,1.3,0.85,0.07,181.63510830100418,178.41383511902117,5175.725895006221,5.897408000245859,0.03924684172405298,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,17465935455.484917,5262159272.727273,264145000.0,17465935455.484917,299384104.15960425,1011745.8242242663,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
