case_id,arm_id,eta_source_heat,p_wallplug_heat_MW,I_coil_A,n_e0,T_i0_keV,source,p_net_MW,rec_frac,q_eng,p_th_MW,p_aux_required_MW,p_coupled_installed_MW,sustainment_margin_MW,eta_source_crossing,p_delivered_MW,p_wallplug_total_MW,eta_pin_eff,tau_E_s,p_rad_MW,n_He0,n_D0,W_th_MJ,eps_cond,sigma_wp_Pa,B_peak_T,cryo_cost_USD,aux_cost_USD,magnet_capital_USD,wall_load,beta_limit,wall_load_limit,B_max_T,sigma_allow_Pa,recirc_threshold,eps_cond_allow
20260903-wall-and-heating:c0638,arm-couple-132,0.75,176.0,14250000.0,5.06e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,989.8076571861814,0.30959211290468275,3.2300564462631516,4305.274349386311,128.63674487682397,132.0,3.3632551231760317,0.7308905958910453,132.0,176.0,0.75,1.0566341907513344,222.77333119058525,5.230025503780884e+19,2.0069974496219116e+20,606.6569509708543,0.0019285607207618462,578568216.2285539,23.040584415584412,16356194.321049692,4735801.784324942,5001772909.090908,4.003677491863302,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0637,arm-couple-132,0.7,188.57142857142858,14250000.0,5.06e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,977.2362286147528,0.31836090083510094,3.14108923984344,4305.274349386311,128.63674487682397,132.0,3.3632551231760317,0.6821645561649755,132.0,188.57142857142858,0.7,1.0566341907513344,222.77333119058525,5.230025503780884e+19,2.0069974496219116e+20,606.6569509708543,0.0019285607207618462,578568216.2285539,23.040584415584412,16356194.321049692,4735801.784324942,5001772909.090908,4.003677491863302,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0636,arm-couple-132,0.65,203.07692307692307,14250000.0,5.06e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,962.7307341092584,0.3284787330625066,3.0443371194131736,4305.274349386311,128.63674487682397,132.0,3.3632551231760317,0.6334385164389059,132.0,203.07692307692307,0.65,1.0566341907513344,222.77333119058525,5.230025503780884e+19,2.0069974496219116e+20,606.6569509708543,0.0019285607207618462,578568216.2285539,23.040584415584412,16356194.321049692,4735801.784324942,5001772909.090908,4.003677491863302,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0635,arm-couple-132,0.55,239.99999999999997,14250000.0,5.06e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,925.8076571861815,0.3542332150959026,2.822998966173364,4305.274349386311,128.63674487682397,132.0,3.3632551231760317,0.5359864369867666,132.0,239.99999999999997,0.55,1.0566341907513344,222.77333119058525,5.230025503780884e+19,2.0069974496219116e+20,606.6569509708543,0.0019285607207618462,578568216.2285539,23.040584415584412,16356194.321049692,4735801.784324942,5001772909.090908,4.003677491863302,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0634,arm-couple-132,0.5,264.0,14250000.0,5.06e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,901.8076571861814,0.37097362841761017,2.695609400230159,4305.274349386311,128.63674487682397,132.0,3.3632551231760317,0.48726039726069686,132.0,264.0,0.5,1.0566341907513344,222.77333119058525,5.230025503780884e+19,2.0069974496219116e+20,606.6569509708543,0.0019285607207618462,578568216.2285539,23.040584415584412,16356194.321049692,4735801.784324942,5001772909.090908,4.003677491863302,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0633,arm-couple-132,0.45,293.3333333333333,14250000.0,5.06e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,872.4743238528481,0.3914341335885859,2.5547082234045613,4305.274349386311,128.63674487682397,132.0,3.3632551231760317,0.4385343575346272,132.0,293.3333333333333,0.45,1.0566341907513344,222.77333119058525,5.230025503780884e+19,2.0069974496219116e+20,606.6569509708543,0.0019285607207618462,578568216.2285539,23.040584415584412,16356194.321049692,4735801.784324942,5001772909.090908,4.003677491863302,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0632,arm-couple-132,0.4,330.0,14250000.0,5.06e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,835.8076571861814,0.41700976505230575,2.39802537927276,4305.274349386311,128.63674487682397,132.0,3.3632551231760317,0.38980831780855746,132.0,330.0,0.4,1.0566341907513344,222.77333119058525,5.230025503780884e+19,2.0069974496219116e+20,606.6569509708543,0.0019285607207618462,578568216.2285539,23.040584415584412,16356194.321049692,4735801.784324942,5001772909.090908,4.003677491863302,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0631,arm-couple-132,0.35,377.14285714285717,14250000.0,5.06e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,788.6648000433241,0.44989271979137396,2.2227521273598825,4305.274349386311,128.63674487682397,132.0,3.3632551231760317,0.34108227808248776,132.0,377.14285714285717,0.35,1.0566341907513344,222.77333119058525,5.230025503780884e+19,2.0069974496219116e+20,606.6569509708543,0.0019285607207618462,578568216.2285539,23.040584415584412,16356194.321049692,4735801.784324942,5001772909.090908,4.003677491863302,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0000,arm-fence-p100,0.4,100.0,14000000.0,4.554e+20,14.63,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,639.3196692031158,0.35680336071081237,2.8026641845744718,2984.901924577138,142.05602449423975,40.0,-102.05602449423975,1.4205602449423975,40.0,100.0,0.4,1.1821514732469607,184.2949836558364,4.245473153000023e+19,1.8524526846999976e+20,501.97761690912216,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,3283392.1170348516,4914977454.545455,2.7970338930648215,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0001,arm-fence-p100,0.4,100.0,14000000.0,5.06e+20,14.63,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,822.0382264463168,0.30473734746920705,3.281514419892519,3550.5765391191053,142.7428377761945,40.0,-102.7428377761945,1.427428377761945,40.0,100.0,0.4,1.165845943322434,225.48529309121935,5.018701795597623e+19,2.0281298204402378e+20,555.9650405292781,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,3905634.193031016,4914977454.545455,3.3527022220293854,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0002,arm-fence-p100,0.4,100.0,14000000.0,5.5660000000000007e+20,14.63,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1016.6001722149,0.2648893594932617,3.77516107824421,4152.916856039892,142.05052431116678,40.0,-102.05052431116678,1.4205052431116678,40.0,100.0,0.4,1.151501097017332,270.9346856584204,5.831753924929673e+19,2.199824607507033e+20,609.7163219169355,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,4568208.541643881,4914977454.545455,3.9443876693998146,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0003,arm-fence-p100,0.4,100.0,14000000.0,6.072e+20,14.63,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1222.2858666648424,0.23366139995643465,4.279697032485667,4789.694957182092,140.30427366578044,40.0,-100.30427366578044,1.4030427366578044,40.0,100.0,0.4,1.1387298831181545,320.647165717874,6.681636137226716e+19,2.3678363862773285e+20,663.2492111263173,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,5268664.452900302,4914977454.545455,4.569901726928134,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0004,arm-fence-p100,0.4,100.0,14000000.0,4.554e+20,17.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,982.1593832256366,0.2710789684505516,3.6889619497811137,4046.292327420767,162.9223796477944,40.0,-122.9223796477944,1.629223796477944,40.0,100.0,0.4,0.9361712576458578,181.36876284834028,4.32878666348975e+19,1.844121333651025e+20,582.7218759561656,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,4450921.560162843,4914977454.545455,3.839649234756787,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0005,arm-fence-p100,0.4,100.0,14000000.0,5.06e+20,17.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1232.2302289464535,0.2323606935663209,4.303653878165834,4820.481503362122,152.17744923763598,40.0,-112.17744923763598,1.5217744923763599,40.0,100.0,0.4,0.9233201306826541,221.0525781983112,5.114969283759077e+19,2.0185030716240924e+20,645.3657838252185,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,5302529.653698334,4914977454.545455,4.600143686228888,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0006,arm-fence-p100,0.4,100.0,14000000.0,5.5660000000000007e+20,17.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1498.361318172092,0.20282217622548665,4.930427326094039,5644.391256080733,137.88878059843216,40.0,-97.88878059843216,1.3788878059843217,40.0,100.0,0.4,0.9120134984231266,264.8048354579534,5.941225672669129e+19,2.1888774327330875e+20,707.7335708677842,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,6208830.381688806,4914977454.545455,5.4094792012784,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0007,arm-fence-p100,0.4,100.0,14000000.0,6.072e+20,17.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1779.5644691775622,0.17972856883922222,5.563945712462434,6514.962294146025,120.50014357788837,40.0,-80.50014357788837,1.2050014357788836,40.0,100.0,0.4,0.9019462824413251,312.6312056756204,6.804509980071172e+19,2.3555490019928827e+20,769.8462239460654,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,7166458.523560627,4914977454.545455,6.264650604644951,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0008,arm-fence-p100,0.4,100.0,14000000.0,4.554e+20,19.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1293.9991156722904,0.2246393302663618,4.451580223348552,5011.710526382576,211.4499189337862,40.0,-171.4499189337862,2.1144991893378617,40.0,100.0,0.4,0.7865152857534788,182.47196506693908,4.317000250490298e+19,1.8452999749509703e+20,651.3681572167229,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,5512881.579020834,4914977454.545455,4.787990036303023,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0009,arm-fence-p100,0.4,100.0,14000000.0,5.06e+20,19.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1605.9673002993259,0.19319057674136753,5.176235905847223,5977.526397801526,194.00018801876126,40.0,-154.00018801876126,1.9400018801876127,40.0,100.0,0.4,0.7757112695626864,221.57029496906384,5.101354861508026e+19,2.0198645138491972e+20,721.39601398669,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,6575279.037581679,4914977454.545455,5.736721475830978,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0010,arm-fence-p100,0.4,100.0,14000000.0,5.5660000000000007e+20,19.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1937.9970779604544,0.16924528830274496,5.908583984986371,7005.450541515742,171.0604501707062,40.0,-131.0604501707062,1.710604501707062,40.0,100.0,0.4,0.7662058202597163,264.64201310435135,5.925748680453898e+19,2.1904251319546105e+20,791.1155312769772,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,7705995.595667316,4914977454.545455,6.74646254703408,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0011,arm-fence-p100,0.4,100.0,14000000.0,6.072e+20,19.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,2288.856223671623,0.1505531373452138,6.642173106675487,8091.668137599976,143.17888235460418,40.0,-103.17888235460418,1.4317888235460419,40.0,100.0,0.4,0.7577424582850345,311.694524476817,6.787143213313255e+19,2.3572856786686745e+20,860.5501083432634,0.0018780323727564695,563409711.8269409,22.63636363636363,16280943.56126321,8900834.951359974,4914977454.545455,7.813465910790743,0.05,4.05,24.9,800000000.0,0.5,0.004
