case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,j_wp,eta_couple_heat,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,wall_load_peak,wall_peak_calibration,beta,B_axis,B_peak,sigma_wp,eps_cond,plasma_volume,heating_capital,total_capital,magnet_capital,magnet_capital_1cfe_form,overnight_capital,cas72,replacement_cost_per_event,fuel,p_cryo,vol_cold,special_materials,beta_ok,cond_strain_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible,feasible_but_wall,p_aux_required_MW_oracle,ignited,feasible_driven,feasible_driven_but_wall,p_net_MW_oracle,core_life_fpy_from_peak,n_replacements_from_peak,wall_margin,cas72_at_limit_oracle,cas72_from_peak_oracle,lifetime_charge_above_limit_per_MWh,cas72_per_MWh,magnet_capital_shadow,lcoe_magnet_shadow,He_over_ne_oracle,wall_load_shadow_lo,wall_load_ok_shadow_lo,wall_load_shadow_hi,wall_load_ok_shadow_hi,feasible_shadow_lo,feasible_shadow_hi
20260904-wall-and-heating:c0000,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,1300.4583592250324,1273.6562506905134,1033.228494885498,1.3349714552458076,1.7574109667472089,1.3164408570995383,0.017917837567866943,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,9618164960.016705,4034721191.1238365,5337994110.541879,9618164960.016705,22605909.290283967,439448430.5998137,201974.49331282062,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False,False,94.70432716295906,False,False,False,109.99319440089374,10.2423396351715,2.0,2.292589033252791,69209648.14671989,22605909.290283967,-56.90257412816319,27.601528561635455,4559312727.272729,1368.1179423080353,0.07846612372018613,1.5352171735326787,satisfied,2.442997763099828,satisfied,False,False
20260904-wall-and-heating:c0001,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,668.939197587724,655.4730158875798,1354.4038398344233,1.749942509332983,2.303695816861229,1.3164408570995383,0.020816488292429457,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,10119353257.02165,4034721191.1238365,5337994110.541879,10119353257.02165,40028558.88874857,506890717.293242,264757.5348972654,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False,False,98.71388772801288,False,False,False,230.33017733163618,7.813531573159205,3.0,1.7463041831387707,79831274.2744805,40028558.88874857,-23.208059397025195,23.33974361458793,4559312727.272729,701.2497430896137,0.08632279234375573,2.0124338857329302,satisfied,3.202394792079359,satisfied,False,False
20260904-wall-and-heating:c0002,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,457.10824964273814,448.1165653688432,1707.755681002217,2.206486849672561,2.9047094395618065,1.3164408570995383,0.023698136132509623,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,10640781588.6031,4034721191.1238365,5337994110.541879,10640781588.6031,62501874.29816146,574411654.445522,333830.40642015776,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,False,100.78466023640743,False,False,False,362.72295015147114,6.196833237377234,4.0,1.1452905604381933,90465287.22673444,62501874.29816146,-10.353617318196264,23.141684808149563,4559312727.272729,477.6255443769819,0.09354878373951331,2.537459877123445,satisfied,4.037870934900787,satisfied,False,False
20260904-wall-and-heating:c0003,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,352.3731884896493,345.60325636319686,2090.8002728972956,2.7013953803580972,3.5562272498833467,1.3164408570995383,0.02656442065077598,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,11181472455.956303,4034721191.1238365,5337994110.541879,11181472455.956303,90335329.8386828,641772529.172472,408707.58774760284,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,False,101.32486324948951,False,False,False,506.24091079668034,5.061543803363648,5.0,0.4937727501166531,101074091.61441693,90335329.8386828,-2.8488785647390333,23.96499616907281,4559312727.272729,367.073884376555,0.10024002459648639,3.1066046874118114,satisfied,4.943553546055318,violated,False,False
20260904-wall-and-heating:c0004,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,290.69534805065587,285.2439009328543,2501.3984508442977,3.2319042173176618,4.254610757909275,1.3164408570995383,0.029416715075068215,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,11739984114.768602,4034721191.1238365,5337994110.541879,11739984114.768602,123747833.80775987,708828639.7069029,488970.91706587083,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,False,100.69370778993914,False,False,False,660.082563675919,4.2307042933453305,6.0,-0.20461075790927552,111634898.0549838,123747833.80775987,2.464496019156164,25.177714967119147,4559312727.272729,301.9698371595456,0.10647078126037156,3.7166898499153107,satisfied,5.914384717691322,violated,False,False
20260904-wall-and-heating:c0005,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,16.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,784.7476378266894,768.8556610948154,1252.5605724881343,1.6183570415596324,2.1304713308838354,1.3164408570995383,0.01958274878440898,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,9963803485.977654,4034721191.1238365,5337994110.541879,9963803485.977654,35419203.49784003,486226011.0919413,244849.3128327274,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False,False,107.9229531114762,False,False,False,192.171857532181,8.448834649435353,3.0,1.9195286691161644,76576746.67656589,35419203.49784003,-28.76316168412805,24.75289335195312,4559312727.272729,823.4738788627157,0.07970649273473807,1.8611105977935771,satisfied,2.9615933860541275,satisfied,False,False
20260904-wall-and-heating:c0006,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,16.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,482.4486250586061,472.8791915470159,1641.0546312481247,2.1203064956681827,2.7912581004711408,1.3164408570995383,0.02274964047139295,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,10544242401.638872,4034721191.1238365,5337994110.541879,10544242401.638872,53050163.23613502,562108315.0419389,320791.7506008475,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False,False,108.77239766650678,False,False,False,337.7316075345675,6.448704975352065,3.0,1.258741899528859,88527608.69187333,53050163.23613502,-14.10774502770541,21.095605024529497,4559312727.272729,504.48415122525444,0.0876480597300367,2.43835247001841,satisfied,3.8801608870727744,satisfied,False,False
20260904-wall-and-heating:c0007,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,16.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,355.1490161902515,348.2832727460424,2068.2156683433645,2.6722151917001633,3.51781325731617,1.3164408570995383,0.025897815986727277,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,11150172089.064669,4034721191.1238365,5337994110.541879,11150172089.064669,82206125.125609,637941503.2301669,404292.7713889463,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,False,106.44315608808569,False,False,False,497.77898115156336,5.116815101701181,4.0,0.5321867426838298,100470735.3636141,82206125.125609,-4.927774462800849,22.179134336897423,4559312727.272729,370.0996146625204,0.09494640797817581,3.0730474704551876,satisfied,4.890153800811299,violated,False,False
20260904-wall-and-heating:c0008,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,16.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,287.25181316409737,281.87244734652614,2531.0270638047195,3.2701855391709387,4.305005854060706,1.3164408570995383,0.02902909626471834,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,11779583582.751657,4034721191.1238365,5337994110.541879,11779583582.751657,125838145.430734,713493599.4542744,494762.68928263104,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,False,101.42920699998155,False,False,False,671.1837205615661,4.18117898330416,6.0,-0.2550058540607063,112369592.27676885,125838145.430734,2.6949859071247673,25.17954413052188,4559312727.272729,298.33982594978517,0.10169987018688476,3.760713370046579,satisfied,5.984439536682818,violated,False,False
20260904-wall-and-heating:c0009,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,16.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,243.98598391486289,239.5400312425269,3026.894597827142,3.910865705058565,5.148423400768488,1.3164408570995383,0.03214500454852368,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,12430535572.109638,4034721191.1238365,5337994110.541879,12430535572.109638,169827262.94989833,788626453.6783172,591694.3887375087,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,False,94.16481665273659,False,False,False,856.9738315274461,3.49621594784011,7.0,-1.098423400768488,124202421.89458616,169827262.94989833,7.150077877118209,26.61440845958245,4559312727.272729,252.67013902128843,0.10798452438894034,4.49749556081735,violated,7.156884240257175,violated,False,False
