case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,source,p_net_MW,rec_frac,q_eng,p_th_MW,p_aux_required_MW,p_coupled_installed_MW,sustainment_margin_MW,ignited,p_delivered_MW,p_wallplug_total_MW,tau_E_s,p_rad_MW,n_He0,n_D0,n_T0,He_over_ne,W_th_MJ,eps_cond,sigma_wp_Pa,p_avg_Pa,n_e_volav,alpha_n_e_eff,alpha_He_eff,B_peak_T,B_axis_T,cryo_cost_USD,aux_cost_USD,magnet_capital_USD,wall_load_oracle,wall_load_peak_oracle,cas72_oracle_USD,lcoe_oracle,beta_limit,wall_load_limit,fluence_limit,B_max_T,sigma_allow_Pa,recirc_threshold,eps_cond_allow
20260905-stored-energy-basis:c0000,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,13.0,0.5,8.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,13.7674548717439,0.960553463102939,1.0410664667947105,1048.0947524353041,81.01005358113389,50.0,-31.01005358113389,False,50.0,100.0,1.7873593542117467,83.82713055668012,2.4153981845272568e+19,1.2764601815472744e+20,1.2764601815472744e+20,0.07955856997784114,258.894420551625,0.0019055122602705946,571653678.0811784,460498.4635598136,2.024636805319994e+20,0.4995282077370713,4.267692568193456,23.83458951762523,8.614911873840445,15509102.169112716,1152904.2276788345,4034721191.1238365,1.0031458136995948,1.3205821347825082,10340292.900675261,9656.906964085601,0.05,4.05,18.0,24.9,800000000.0,0.5,0.004
20260905-stored-energy-basis:c0001,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,13.0,0.5,8.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,103.99123803269093,0.7647415469018574,1.3076313220475968,1327.416702718413,86.40964707937997,50.0,-36.409647079379965,False,50.0,100.0,1.750563791689692,109.37404563751898,3.099393636543122e+19,1.4610606363456877e+20,1.4610606363456877e+20,0.0875040552383716,298.46880116512557,0.0019055122602705946,571653678.0811784,530889.8664723162,2.332007361511552e+20,0.5188631298762965,4.267692568193456,23.83458951762523,8.614911873840445,15509102.169112716,1460158.3729902543,4034721191.1238365,1.3142742589222818,1.730164331879509,22050406.385923676,1370.3186503101267,0.05,4.05,18.0,24.9,800000000.0,0.5,0.004
20260905-stored-energy-basis:c0002,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,13.0,0.5,8.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,203.17555563916173,0.626708780407963,1.595637449580711,1634.4793868658721,90.18155634336244,50.0,-40.181556343362445,False,50.0,100.0,1.7201254905222902,137.8730072365262,3.838066761813973e+19,1.6401933238186027e+20,1.6401933238186027e+20,0.09481390221872464,337.3486704019627,0.0019055122602705946,571653678.0811784,600045.9340647415,2.6335359554430022e+20,0.5370969177897791,4.267692568193456,23.83458951762523,8.614911873840445,15509102.169112716,1797927.3255524593,4034721191.1238365,1.6563022857489342,2.1804240006672515,36745210.98586398,746.9268609099272,0.05,4.05,18.0,24.9,800000000.0,0.5,0.004
20260905-stored-energy-basis:c0003,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,13.0,0.5,8.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,310.6089482271547,0.5258151657947813,1.9018089721479938,1967.0802121901436,92.53395770293503,50.0,-42.53395770293503,False,50.0,100.0,1.6943614953653243,169.20180835821728,4.626203410176593e+19,1.8143796589823407e+20,1.8143796589823407e+20,0.10158549429461118,375.60025797515107,0.0019055122602705946,571653678.0811784,668084.4698842664,2.92977968595668e+20,0.5543830895642765,4.267692568193456,23.83458951762523,8.614911873840445,15509102.169112716,2163788.233409158,4034721191.1238365,2.026776491438958,2.6681313815390966,49767163.329786085,517.5068380256171,0.05,4.05,18.0,24.9,800000000.0,0.5,0.004
20260905-stored-energy-basis:c0004,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,13.0,0.5,8.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,425.67769485152223,0.4497908806555184,2.2232553904663765,2323.3191726692853,93.65122280287437,50.0,-43.65122280287437,False,50.0,100.0,1.6721595277609287,203.2529153535183,5.459438198651683e+19,1.9840561801348317e+20,1.9840561801348317e+20,0.10789403554647595,413.2790126256872,0.0019055122602705946,571653678.0811784,735104.1012399726,3.221204966509814e+20,0.5708407420849491,4.267692568193456,23.83458951762523,8.614911873840445,15509102.169112716,2555651.089936214,4034721191.1238365,2.4235805155741286,3.1905004111721467,71692487.34568506,401.6644715799051,0.05,4.05,18.0,24.9,800000000.0,0.5,0.004
20260905-stored-energy-basis:c0005,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,14.63,0.5,8.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,102.68436635123035,0.766987858682872,1.3038016034794522,1323.3707856215412,85.0949911610582,50.0,-35.0949911610582,False,50.0,100.0,1.48873781744542,82.5457077023688,2.503616008125164e+19,1.2676383991874837e+20,1.2676383991874837e+20,0.08246429539279196,290.82340170421094,0.0019055122602705946,571653678.0811784,517290.9071067543,2.0205733144192365e+20,0.5025438465085452,4.051846993560424,23.83458951762523,8.614911873840445,15509102.169112716,1455707.8641836953,4034721191.1238365,1.3097676317324969,1.7242316237191606,21929506.295039333,1386.6072753933834,0.05,4.05,18.0,24.9,800000000.0,0.5,0.004
20260905-stored-energy-basis:c0006,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,14.63,0.5,8.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,219.8836839773468,0.608404034674487,1.643644589791433,1686.2057369422942,84.71058484250412,50.0,-34.71058484250412,False,50.0,100.0,1.4582935128546075,107.10496327425581,3.2091529230887195e+19,1.4500847076911281e+20,1.4500847076911281e+20,0.09060284932492149,335.25721064745767,0.0019055122602705946,571653678.0811784,596325.8307056399,2.3271533586604687e+20,0.5220311918071479,4.051846993560424,23.83458951762523,8.614911873840445,15509102.169112716,1854826.3106365236,4034721191.1238365,1.7139187346531817,2.2562726480457904,38763908.81684189,696.6813947719851,0.05,4.05,18.0,24.9,800000000.0,0.5,0.004
20260905-stored-energy-basis:c0007,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,14.63,0.5,8.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,348.54686951022165,0.497878863590599,2.0085206927408157,2084.531440582661,81.2690152716645,50.0,-31.2690152716645,False,50.0,100.0,1.433107682454893,134.47050556448937,3.970136061017554e+19,1.6269863938982445e+20,1.6269863938982445e+20,0.09807648372078938,378.91457784056394,0.0019055122602705946,571653678.0811784,673979.6884931359,2.6279280758041366e+20,0.5403770130814278,4.051846993560424,23.83458951762523,8.614911873840445,15509102.169112716,2292984.584640927,4034721191.1238365,2.1576019351329494,2.8403553407660422,60436521.80937508,472.3130889690723,0.05,4.05,18.0,24.9,800000000.0,0.5,0.004
20260905-stored-energy-basis:c0008,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,14.63,0.5,8.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,487.74198868945473,0.4177251631854064,2.3939185094199176,2515.4627404781227,75.09208320863235,50.0,-25.092083208632346,False,50.0,100.0,1.4117865733327712,164.53039083769215,4.78116582662533e+19,1.798883417337467e+20,1.798883417337467e+20,0.10498827023771037,421.87111657132425,0.0019055122602705946,571653678.0811784,750386.974688082,2.92346281395071e+20,0.5577417226818815,4.051846993560424,23.83458951762523,8.614911873840445,15509102.169112716,2767009.014525935,4034721191.1238365,2.6376035433072222,3.4722490692401387,80745527.20338637,360.8152932971295,0.05,4.05,18.0,24.9,800000000.0,0.5,0.004
20260905-stored-energy-basis:c0009,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,14.63,0.5,8.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,636.6679591698204,0.3576673223770709,2.7958942219097938,2976.5195823107765,66.46300801601501,50.0,-16.46300801601501,False,50.0,100.0,1.393409434012882,197.1859853405318,5.63773419231848e+19,1.966226580768152e+20,1.966226580768152e+20,0.11141767178495021,464.189955050232,0.0019055122602705946,571653678.0811784,825659.9761596876,3.214229572333786e+20,0.5742497186739643,4.051846993560424,23.83458951762523,8.614911873840445,15509102.169112716,3274171.540541854,4034721191.1238365,3.1511611001454267,4.14831721953417,112250576.3580203,296.84737834090225,0.05,4.05,18.0,24.9,800000000.0,0.5,0.004
