case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,j_wp,eta_couple_heat,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,wall_load_peak,wall_peak_calibration,beta,B_axis,B_peak,sigma_wp,eps_cond,plasma_volume,heating_capital,total_capital,magnet_capital,magnet_capital_1cfe_form,overnight_capital,cas72,replacement_cost_per_event,fuel,p_cryo,vol_cold,special_materials,beta_ok,cond_strain_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible,feasible_but_wall,p_aux_required_MW_oracle,ignited,feasible_driven,feasible_driven_but_wall,p_net_MW_oracle,core_life_fpy_from_peak,n_replacements_from_peak,wall_margin,cas72_at_limit_oracle,cas72_from_peak_oracle,lifetime_charge_above_limit_per_MWh,cas72_per_MWh,magnet_capital_shadow,lcoe_magnet_shadow,He_over_ne_oracle,W_th_MJ_oracle,tau_E_s_oracle,alpha_He_eff_oracle,alpha_n_e_eff_oracle,n_e_volav_oracle,committed_case_id,committed_excluded,committed_lcoe,committed_p_fus,committed_wall_load_peak,committed_beta,committed_p_aux_required_MW,committed_W_th_MJ,committed_tau_E_s,committed_n_He0,committed_sustainment_ok,committed_wall_load_ok,committed_beta_ok,committed_recirc_ok,committed_feasible,committed_ignited,committed_feasible_driven,W_ratio_vs_committed,feasible_driven_changed,class_vs_committed,state_here,state_committed,transition_vs_committed,W_th_MJ_store,W_store_vs_oracle_reldev,cf0915_p_aux_required_MW,cf0915_W_th_MJ,cf0915_wall_load_peak,cf0915_lcoe,cf0915_feasible_driven,cf0915_ignited,cf0915_error,cf0940_p_aux_required_MW,cf0940_W_th_MJ,cf0940_wall_load_peak,cf0940_lcoe,cf0940_feasible_driven,cf0940_ignited,cf0940_error,rule_vs_scales,wall_load_shadow_lo,wall_load_ok_shadow_lo,wall_load_shadow_hi,wall_load_ok_shadow_hi,feasible_shadow_lo,feasible_shadow_hi
20260905-stored-energy-basis:c0000,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,13.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,9656.906964085603,9452.441662876201,776.4052445965402,1.0031458136995948,1.3205821347825082,1.3164408570995383,0.015594317315208698,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,9183975639.87255,4034721191.1238365,5337994110.541879,9183975639.87255,10340292.900675261,379717637.17192954,151770.93610855247,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False,False,81.01005358113389,False,False,False,13.7674548717439,13.630352498267357,1.0,2.7294178652174916,59802521.14657166,10340292.900675261,-482.499628976417,100.86863582611075,4559312727.272729,10197.463932999748,0.07955856997784114,258.894420551625,1.7873593542117467,4.267692568193456,0.4995282077370713,2.024636805319994e+20,,False,,,,,,,,,,,,,,,,,,not_proposed_by_committed,violated,,,258.89442055162493,2.195621625977572e-16,,,,,,,,,,,,,,,,1.153617685754534,satisfied,1.8357568390702586,satisfied,False,False
20260905-stored-energy-basis:c0001,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,13.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,1370.3186503101267,1342.046062802855,1017.2094759606563,1.3142742589222818,1.730164331879509,1.3164408570995383,0.01797805137763015,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,9592233683.950974,4034721191.1238365,5337994110.541879,9592233683.950974,22050406.385923676,435894426.1210164,198843.11119673605,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False,False,86.40964707937997,False,False,False,103.99123803269093,10.403636041003269,2.0,2.319835668120491,68649920.58288787,22050406.385923676,-60.18130607318728,28.47716931426481,4559312727.272729,1441.8832726371793,0.0875040552383716,298.46880116512557,1.750563791689692,4.267692568193456,0.5188631298762965,2.332007361511552e+20,,False,,,,,,,,,,,,,,,,,,not_proposed_by_committed,violated,,,298.46880116512557,0.0,,,,,,,,,,,,,,,,1.511415397760624,satisfied,2.4051218938277756,satisfied,False,False
20260905-stored-energy-basis:c0002,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,13.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,746.9268609099271,731.827474421102,1281.9290712584364,1.6563022857489342,2.1804240006672515,1.3164408570995383,0.02031995205189423,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,10008942691.65642,4034721191.1238365,5337994110.541879,10008942691.65642,36745210.98586398,492247931.9342351,250590.2381825914,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False,False,90.18155634336244,False,False,False,203.17555563916173,8.25527511827592,3.0,1.8695759993327483,77525151.52601247,36745210.98586398,-26.955792226976175,24.288811105454972,4559312727.272729,783.5557440042559,0.09481390221872464,337.3486704019627,1.7201254905222902,4.267692568193456,0.5370969177897791,2.6335359554430022e+20,,False,,,,,,,,,,,,,,,,,,not_proposed_by_committed,violated,,,337.3486704019627,0.0,,,,,,,,,,,,,,,,1.9047476286112741,satisfied,3.0310331829205497,satisfied,False,False
20260905-stored-energy-basis:c0003,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,13.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,517.5068380256171,507.2060952288024,1568.665169198839,2.026776491438958,2.6681313815390966,1.3164408570995383,0.022624008636643402,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,10438544600.198849,4034721191.1238365,5337994110.541879,10438544600.198849,49767163.329786085,548536684.7358177,306641.1295223875,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False,False,92.53395770293503,False,False,False,310.6089482271547,6.746294475805311,3.0,1.3818686184609033,86390184.38253638,49767163.329786085,-15.834967331491633,21.51819764877069,4559312727.272729,541.4665266231574,0.10158549429461118,375.60025797515107,1.6943614953653243,4.267692568193456,0.5543830895642765,2.92977968595668e+20,,False,,,,,,,,,,,,,,,,,,not_proposed_by_committed,violated,,,375.600257975151,1.5134020186048077e-16,,,,,,,,,,,,,,,,2.330792965154801,satisfied,3.709000979333293,satisfied,False,False
20260905-stored-energy-basis:c0004,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,13.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,401.6644715799051,393.8298746986155,1875.7797692980598,2.4235805155741286,3.1905004111721467,1.3164408570995383,0.024893561046503816,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,10880653854.397385,4034721191.1238365,5337994110.541879,10880653854.397385,71692487.34568506,604611753.2024691,366675.5904872719,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,False,93.65122280287437,False,False,False,425.67769485152223,5.641748215098033,4.0,0.8594995888278532,95221563.6483196,71692487.34568506,-7.423367344775258,22.61880843014997,4559312727.272729,419.1474023633186,0.10789403554647595,413.2790126256872,1.6721595277609287,4.267692568193456,0.5708407420849491,3.221204966509814e+20,,False,,,,,,,,,,,,,,,,,,not_proposed_by_committed,violated,,,413.2790126256872,0.0,,,,,,,,,,,,,,,,2.787117592910248,satisfied,4.435152343500655,violated,False,False
20260905-stored-energy-basis:c0005,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,1386.6072753933834,1357.9917579152468,1013.721479561921,1.3097676317324969,1.7242316237191606,1.3164408570995383,0.01751753629607298,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,9586572839.033434,4034721191.1238365,5337994110.541879,9586572839.033434,21929506.295039333,435117852.198611,198161.28107997222,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False,False,85.0949911610582,False,False,False,102.68436635123035,10.43943270288366,2.0,2.3257683762808394,68527616.33923355,21929506.295039333,-60.945401614860145,28.681475860270314,4559312727.272729,1459.0827060706938,0.08246429539279196,290.82340170421094,1.48873781744542,4.051846993560424,0.5025438465085452,2.0205733144192365e+20,20260904-wall-and-heating:c0000,False,1300.4583592250324,1033.228494885498,1.7574109667472089,0.017917837567866943,94.70432716295906,297.4691408996103,1.3898141955626195,2.382231516144851e+19,violated,satisfied,satisfied,violated,False,False,False,0.9776590634736053,False,executed_in_both,violated,violated,violated->violated,290.823401704211,1.9545682544014117e-16,57.14088750723903,270.97085442231395,1.6860823151029407,1502.0818116063901,False,False,,67.29391798346154,278.6982365909058,1.7079383624804196,1433.540639997259,False,False,,above_both,1.5062327764923713,satisfied,2.3968747660704692,satisfied,False,False
20260905-stored-energy-basis:c0006,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,696.6813947719851,682.6344312592286,1326.5225017382077,1.7139187346531817,2.2562726480457904,1.3164408570995383,0.020193974493188067,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,10077038175.621685,4034721191.1238365,5337994110.541879,10077038175.621685,38763908.81684189,501293401.27295226,259307.3182581176,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,False,False,84.71058484250412,False,False,False,219.8836839773468,7.9777592551105085,3.0,1.7937273519542094,78949741.32236256,38763908.81684189,-24.544655070358168,23.676174207850288,4559312727.272729,730.5269877715042,0.09060284932492149,335.25721064745767,1.4582935128546075,4.051846993560424,0.5220311918071479,2.3271533586604687e+20,20260904-wall-and-heating:c0001,False,668.939197587724,1354.4038398344233,2.303695816861229,0.020816488292429457,98.71388772801288,345.5920875184579,1.3608022295333593,3.0575533048158278e+19,violated,satisfied,satisfied,violated,False,False,False,0.9700951577184236,False,executed_in_both,violated,violated,violated->violated,335.2572106474576,1.6955166676663118e-16,55.85748937462586,314.70445013463404,2.202236710912453,731.6572572894612,False,False,,67.3785025834683,323.7107021645419,2.233244462990278,711.1169794955335,False,False,,above_both,1.9710065448511587,satisfied,3.1364712844153226,satisfied,False,False
20260905-stored-energy-basis:c0007,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,472.3130889690723,463.00376590868655,1669.9202003453895,2.1576019351329494,2.8403553407660422,1.3164408570995383,0.02282364428562813,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,10586118062.299204,4034721191.1238365,5337994110.541879,10586118062.299204,60436521.80937508,567455834.7580972,326434.36375124485,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,False,81.2690152716645,False,False,False,348.54686951022165,6.337235254214852,4.0,1.2096446592339576,89369800.70404595,60436521.80937508,-11.148422906967845,23.28709119384318,4559312727.272729,493.66486207663104,0.09807648372078938,378.91457784056394,1.433107682454893,4.051846993560424,0.5403770130814278,2.6279280758041366e+20,20260904-wall-and-heating:c0002,False,457.10824964273814,1707.755681002217,2.9047094395618065,0.023698136132509623,100.78466023640743,393.4327549046347,1.3366634222657336,3.7868547657754984e+19,violated,satisfied,satisfied,satisfied,False,False,False,0.9630987077636943,False,executed_in_both,violated,violated,violated->violated,378.91457784056394,0.0,53.10794304411252,358.1690766114636,2.7678069817581106,488.69102712454816,False,False,,65.85249730125935,368.45002659388587,2.809549466282236,477.7088429649643,False,False,,above_both,2.4812422254028914,satisfied,3.9484115412932974,satisfied,False,False
20260905-stored-energy-basis:c0008,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,360.8152932971295,353.831648771343,2041.4272743039132,2.6376035433072222,3.4722490692401387,1.3164408570995383,0.02541110018484459,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,11112959070.99542,4034721191.1238365,5337994110.541879,11112959070.99542,80745527.20338637,633376229.522378,399056.20238260855,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,False,75.09208320863235,False,False,False,487.74198868945473,5.1839599179269396,4.0,0.5777509307598612,99751740.90372199,80745527.20338637,-5.233381941140463,22.233370126034423,4559312727.272729,376.07355247454575,0.10498827023771037,421.87111657132425,1.4117865733327712,4.051846993560424,0.5577417226818815,2.92346281395071e+20,20260904-wall-and-heating:c0003,False,352.3731884896493,2090.8002728972956,3.5562272498833467,0.02656442065077598,101.32486324948951,441.0183628214973,1.316105776197183,4.56493072012399e+19,violated,satisfied,satisfied,satisfied,False,False,False,0.9565840158498731,False,executed_in_both,violated,violated,violated->violated,421.87111657132425,0.0,49.30564025457437,401.39224466561143,3.3787054238985346,373.19576680278817,True,False,,63.128963528877534,412.94366464785975,3.432719038468021,365.9196407450801,False,False,,above_both,3.033244074803305,satisfied,4.826814484252217,violated,False,False
20260905-stored-energy-basis:c0009,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,296.84737834090225,291.235793891244,2438.9056618783566,3.1511611001454267,4.14831721953417,1.3164408570995383,0.027960144672729014,8.614911873840445,23.83458951762523,571653678.0811784,0.0019055122602705946,374.80316228097826,264145000.0,11656171861.358622,4034721191.1238365,5337994110.541879,11656171861.358622,112250576.3580203,698917549.647116,476754.8879400967,0.7776311123836792,101.66241947029346,21002241.81659488,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,False,66.46300801601501,False,False,False,636.6679591698204,4.3391088596694365,5.0,-0.09831721953417016,110073979.84928662,112250576.3580203,0.45913658762209375,23.678410941501934,4559312727.272729,308.5365069800067,0.11141767178495021,464.189955050232,1.393409434012882,4.051846993560424,0.5742497186739643,3.214229572333786e+20,20260904-wall-and-heating:c0004,False,290.69534805065587,2501.3984508442977,4.254610757909275,0.029416715075068215,100.69370778993914,488.3717093831698,1.2982766160624108,5.387421531774801e+19,violated,violated,satisfied,satisfied,False,False,False,0.9504849403265391,False,executed_in_both,violated,violated,violated->violated,464.1899550502321,1.2245723597068519e-16,44.80802851117346,444.3968043639057,4.0314473269494675,305.9687035757205,True,False,,59.56685136523413,457.21447804377294,4.099217801756839,300.5902463858776,False,False,,above_both,3.6238352651672403,satisfied,5.766624813266131,violated,False,False
