availability,lcoe,wall_load,p_fus,plasma_volume,total_capital,magnet_capital,overnight_capital,lcoe_1cfe,beta_ok,net_positive,recirc_ok,tbr_ok,wall_load_ok,feasible
0.5,455.09501119892263,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,445.91045123358697,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.525,433.95500918036464,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,425.2078092133783,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.55,414.7158347233773,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,406.36623475489034,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.575,399.0102211748897,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,391.0236472919891,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.6,382.9531727592841,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,375.299372788171,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.625,368.16417590969667,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,360.81652793742813,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.65,354.49722362899587,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,347.4321775018146,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.675,341.8279951369892,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,335.0246173848887,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.7,330.0499678891193,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,323.4895679138795,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.725,319.07133711071134,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,312.7371578242729,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.75,308.81255383874515,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,302.68951386185466,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.775,300.6298429650661,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,294.70432040678503,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.8,291.65644770311866,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,285.91609772478387,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.825,283.2168729195883,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,277.650472940597,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.85,275.2642200420774,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,269.86153770952706,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.875,267.7569620190571,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,262.5086420388652,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.9,260.6581940009544,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,255.55566068687904,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.925,253.9350060736522,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,248.9703790653626,satisfied,satisfied,satisfied,satisfied,satisfied,True
0.95,247.55795547978482,3.131234717504045,2748.0568768605704,425.0000143721807,16129706216.036476,6323469946.334225,16129706216.036476,242.7239765506608,satisfied,satisfied,satisfied,satisfied,satisfied,True
