R,a,lcoe,wall_load,p_fus,plasma_volume,total_capital,magnet_capital,overnight_capital,lcoe_1cfe,beta_ok,net_positive,recirc_ok,tbr_ok,wall_load_ok,feasible
4.0,0.8,7154.770527377628,1.8445669341772681,327.7745704124801,50.69189008026756,4050146248.11443,1659703397.9879854,4050146248.11443,7004.4287301993445,satisfied,satisfied,violated,satisfied,satisfied,False
4.0,0.85,2558.537787424664,1.9727461331394216,370.02676112971375,57.226391535927036,4174660378.597477,1692897465.947745,4174660378.597477,2505.4174830616594,satisfied,satisfied,violated,satisfied,satisfied,False
4.0,0.9,1566.0745953083785,2.1010770234612943,414.8396906782951,64.15692338283863,4300131258.864947,1726091533.9075053,4300131258.864947,1533.8320526651255,satisfied,satisfied,violated,satisfied,satisfied,False
4.0,0.95,1135.0127588158143,2.2295379349486395,462.2133590582238,71.48348562100229,4427624182.091201,1759285601.867265,4427624182.091201,1111.8651657653115,satisfied,satisfied,violated,satisfied,satisfied,False
4.0,1.0,891.224101904351,2.3581111374425294,512.1477662695,79.20607825041805,4557464846.787643,1792479669.8270247,4557464846.787643,873.1617108464858,satisfied,satisfied,violated,satisfied,satisfied,False
4.0,1.05,735.2544227098972,2.486781984289937,564.6429123121237,87.3247012710859,4689801766.228406,1825673737.786784,4689801766.228406,720.4361679772697,satisfied,satisfied,violated,satisfied,satisfied,False
4.0,1.1,626.9478228198006,2.6155382699466725,619.6987971860951,95.83935468300585,4824715835.59073,1858867805.7465441,4824715835.59073,614.3765380628174,satisfied,satisfied,violated,satisfied,satisfied,False
4.0,1.15,547.3977314147712,2.744369741755615,677.3154208914136,104.75003848617786,4962256041.090106,1892061873.7063038,4962256041.090106,536.4729298969326,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.2,487.9489402040046,2.8732677243915132,737.4927834280801,114.05675268060199,5102454280.335256,1925255941.6660635,5102454280.335256,478.28117852760164,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.25,439.91846326388367,3.00222482776248,800.2308847960937,123.7594972662782,5245332488.985716,1958450009.6258233,5245332488.985716,431.2409125960053,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.3,401.0714707846975,3.1312347175040456,865.5297249954552,133.85827224320653,5390906429.552087,1991644077.5855827,5390906429.552087,393.1934037517453,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.35,369.0234193117689,3.2602919329571804,933.3893040261639,144.3530776113869,5539187858.464996,2024838145.5453432,5539187858.464996,361.8038357096288,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.4,342.14858475139494,3.3893917415507295,1003.80962188822,155.24391337081937,5690185836.605121,2058032213.5051022,5690185836.605121,335.48034703718,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.45,319.30046516317907,3.5185300213678774,1076.7906785816238,166.53077952150394,5843907557.417108,2091226281.4648623,5843907557.417108,313.10028954275276,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.5,300.69630463245875,3.6477031657314125,1152.332474106375,178.2136760634406,6000358889.091852,2124420349.4246216,6000358889.091852,294.89819284198836,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.55,283.6529129299243,3.776908005137119,1230.4350084624741,190.2926029966294,6159544740.087892,2157614417.3843813,6159544740.087892,278.20369696664505,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.6,268.71762147684706,3.906141742963626,1311.0982816499204,202.76756032107025,6321469311.67708,2190808485.344141,6321469311.67708,263.5738551473896,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.65,255.52837378463303,4.035401902203437,1394.3222936687137,215.63854803676313,6486136276.111952,2224002553.303901,6486136276.111952,250.65411053510925,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.0,1.7,243.80118183427518,4.164686281072113,1480.107044518855,228.90556614370814,6653548904.595148,2257196621.2636604,6653548904.595148,239.16635212412638,satisfied,satisfied,satisfied,satisfied,violated,False
4.5,0.8,2790.300871648994,1.844566934177268,368.74639171404004,57.028376340301,4476050965.778058,1867166322.7364836,4476050965.778058,2732.188197199275,satisfied,satisfied,violated,satisfied,satisfied,False
4.5,0.85,1653.3887435167542,1.9727461331394214,416.2801062709279,64.3796904779179,4614085252.451988,1904509649.1912136,4614085252.451988,1619.242965226339,satisfied,satisfied,violated,satisfied,satisfied,False
4.5,0.9,1178.0483022393623,2.101077023461294,466.69465201308185,72.17653880569344,4754464800.767921,1941852975.6459432,4754464800.767921,1153.8840211475988,satisfied,satisfied,violated,satisfied,satisfied,False
4.5,0.95,919.4685711908448,2.2295379349486386,519.9900289405016,80.41892132362756,4897563144.638869,1979196302.1006727,4897563144.638869,900.7687530301408,satisfied,satisfied,violated,satisfied,satisfied,False
4.5,1.0,754.3707909593775,2.3581111374425294,576.1662370531875,89.1068380317203,5043544884.358325,2016539628.5554028,5043544884.358325,739.1138722474358,satisfied,satisfied,violated,satisfied,satisfied,False
4.5,1.05,640.6899687022562,2.4867819842899372,635.2232763511392,98.24028892997164,5192497887.450646,2053882955.0101323,5192497887.450646,627.7978655507717,satisfied,satisfied,violated,satisfied,satisfied,False
4.5,1.1,557.7047443094515,2.6155382699466725,697.1611468343569,107.81927401838159,5344474643.108491,2091226281.4648623,5344474643.108491,546.5350235212735,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.5,1.15,494.50911494486843,2.744369741755616,761.9798485028404,117.84379329695008,5499509013.667781,2128569607.9195917,5499509013.667781,484.64829880812084,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.5,1.2,446.15885012702876,2.873267724391513,829.6793813565899,128.31384676567723,5657624152.265956,2165912934.374322,5657624152.265956,437.3252922931475,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.5,1.25,406.1142790219002,3.0022248277624795,900.2597453956054,139.22943442456295,5818836655.33507,2203256260.8290515,5818836655.33507,398.10759206092206,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.5,1.3,373.16734173999987,3.1312347175040447,973.720940619887,150.59055627360732,5983158910.514948,2240599587.2837806,5983158910.514948,365.8399446691607,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.5,1.35,345.60345311812125,3.260291932957181,1050.0629670294345,162.39721231281027,6150600502.094196,2277942913.73851,6150600502.094196,338.84356352261227,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.5,1.4,322.21801117008255,3.389391741550728,1129.2858246242472,174.64940254217177,6321169090.772852,2315286240.19324,6321169090.772852,315.93896976625695,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.5,1.45,302.13996679381097,3.5185300213678787,1211.3895134043269,187.34712696169194,6494870984.563656,2352629566.6479697,6494870984.563656,296.27326175348844,satisfied,satisfied,satisfied,satisfied,satisfied,True
4.5,1.5,285.76142714694856,3.6477031657314134,1296.374033369672,200.4903855713707,6671711520.401434,2389972893.1026993,6671711520.401434,280.25197964709497,satisfied,satisfied,satisfied,satisfied,satisfied,True
