R,B0,Ip_MA,n20,beta_N,pfus_key,pfus_derived,ratio_der_over_key,pfus_derived_troyon,key_kAm,derived_kAm,key_C220103_M,derived_conductor_mid_M,derived_structure_M
2.5,5.0,5.6,0.933,2.11,168.5,158.6,0.942,60.1,1170243.0,1170243.0,180.8,47.9,1106.0
2.5,7.0,7.83,1.306,1.51,330.2,310.9,0.942,230.8,1638341.0,1638341.0,253.1,67.0,2168.0
2.5,9.0,10.07,1.679,1.17,545.8,514.0,0.942,630.7,2106438.0,2106438.0,325.4,86.2,3584.0
2.5,12.0,13.43,2.238,0.88,970.4,913.8,0.942,1993.2,2808584.0,2808584.0,433.9,114.9,6372.0
3.3,5.0,4.24,0.707,2.11,127.6,120.2,0.942,45.5,1544721.0,1544721.0,238.7,63.2,1460.0
3.3,7.0,5.93,0.989,1.51,250.1,235.6,0.942,174.8,2162610.0,2162610.0,334.1,88.5,2862.0
3.3,9.0,7.63,1.272,1.17,413.5,389.4,0.942,477.8,2780498.0,2780498.0,429.6,113.7,4731.0
3.3,12.0,10.17,1.696,0.88,735.1,692.3,0.942,1510.0,3707331.0,3707331.0,572.8,151.7,8410.0
4.5,5.0,3.11,0.518,2.11,93.6,88.1,0.942,33.4,2106438.0,2106438.0,325.4,86.2,1991.0
4.5,7.0,4.35,0.725,1.51,183.4,172.7,0.942,128.2,2949013.0,2949013.0,455.6,120.6,3903.0
4.5,9.0,5.6,0.933,1.17,303.2,285.6,0.942,350.4,3791588.0,3791588.0,585.8,155.1,6451.0
4.5,12.0,7.46,1.243,0.88,539.1,507.7,0.942,1107.3,5055451.0,5055451.0,781.1,206.8,11469.0
6.0,5.0,2.33,0.389,2.11,70.2,66.1,0.942,25.0,2808584.0,2808584.0,433.9,114.9,2655.0
6.0,7.0,3.26,0.544,1.51,137.6,129.6,0.942,96.2,3932017.0,3932017.0,607.5,160.9,5203.0
6.0,9.0,4.2,0.699,1.17,227.4,214.2,0.942,262.8,5055451.0,5055451.0,781.1,206.8,8602.0
6.0,12.0,5.6,0.933,0.88,404.3,380.7,0.942,830.5,6740601.0,6740601.0,1041.4,275.8,15292.0
