case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,beta_ok_record,beta_ok_forced,cond_strain_ok_record,cond_strain_ok_forced,net_positive_record,net_positive_forced,peak_field_ok_record,peak_field_ok_forced,recirc_ok_record,recirc_ok_forced,sustainment_ok_record,sustainment_ok_forced,wall_load_ok_record,wall_load_ok_forced,wp_stress_ok_record,wp_stress_ok_forced,p_aux_required_forced,W_th_forced,tau_E_forced,lcoe_forced,wall_load_peak_forced,beta_forced,p_fus_forced,p_aux_required_record,lcoe_record,feasible_record,feasible_forced,ignited_record,ignited_forced,feasible_driven_record,feasible_driven_forced,error
20260904-wall-and-heating:c0000,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,57.14088750723903,270.97085442231395,1.608174399907814,1502.0818116063901,1.6860823151029407,0.017835183803621653,991.292489719314,94.70432716295906,1300.4583592250324,False,False,False,False,False,False,
20260904-wall-and-heating:c0001,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,55.85748937462586,314.70445013463404,1.575407251198771,731.6572572894612,2.202236710912453,0.020713710055403945,1294.753341848791,98.71388772801288,668.939197587724,False,False,False,False,False,False,
20260904-wall-and-heating:c0002,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,53.10794304411252,358.1690766114636,1.5481390374352597,488.69102712454816,2.7678069817581106,0.023574532869070287,1627.267096886658,100.78466023640743,457.10824964273814,False,False,False,False,False,False,
20260904-wall-and-heating:c0003,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,49.30564025457437,401.39224466561143,1.5249069527413885,373.19576680278817,3.3787054238985346,0.02641946299435638,1986.4304854416578,101.32486324948951,352.3731884896493,False,True,False,False,False,True,
20260904-wall-and-heating:c0004,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,satisfied,satisfied,44.80802851117346,444.3968043639057,1.5047470011369843,305.9687035757205,4.0314473269494675,0.029250004412724278,2370.194753902049,100.69370778993914,290.69534805065587,False,True,False,False,False,True,
20260904-wall-and-heating:c0005,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,60.50337850739453,296.1335583341606,1.3996306991230538,859.0158738478622,2.0428249026691208,0.019491382032839538,1201.0309139052047,107.9229531114762,784.7476378266894,False,False,False,False,False,False,
20260904-wall-and-heating:c0006,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,54.60203827095546,343.9117790236891,1.3712158048717211,517.9416049226372,2.6667269061853585,0.022636123741775042,1567.8394409068771,108.77239766650678,482.4486250586061,False,False,False,False,False,False,
20260904-wall-and-heating:c0007,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,46.092658882220235,391.39428380647513,1.347568139169329,377.2202651822881,3.349946082862201,0.025761401558323842,1969.5221064596665,106.44315608808569,355.1490161902515,False,True,False,False,False,True,
20260904-wall-and-heating:c0008,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,35.47502496837291,438.61157688302796,1.3274189510656704,301.50005753216976,4.0875277143254864,0.028869223255698406,2403.16590028585,101.42920699998155,287.25181316409737,False,False,False,False,False,False,
20260904-wall-and-heating:c0009,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,23.18078687456648,485.5889624608668,1.3099323113777288,254.82161313575335,4.8752543925759655,0.03196125434583386,2866.291296422615,94.16481665273659,243.98598391486289,False,False,False,False,False,False,
