case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,beta_ok_record,beta_ok_forced,cond_strain_ok_record,cond_strain_ok_forced,net_positive_record,net_positive_forced,peak_field_ok_record,peak_field_ok_forced,recirc_ok_record,recirc_ok_forced,sustainment_ok_record,sustainment_ok_forced,wall_load_ok_record,wall_load_ok_forced,wp_stress_ok_record,wp_stress_ok_forced,p_aux_required_forced,W_th_forced,tau_E_forced,lcoe_forced,wall_load_peak_forced,beta_forced,p_fus_forced,p_aux_required_record,lcoe_record,feasible_record,feasible_forced,ignited_record,ignited_forced,feasible_driven_record,feasible_driven_forced,error
20260904-wall-and-heating:c0000,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,67.29391798346154,278.6982365909058,1.538979684431019,1433.540639997259,1.7079383624804196,0.017860692694662273,1004.1422393585667,94.70432716295906,1300.4583592250324,False,False,False,False,False,False,
20260904-wall-and-heating:c0001,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,67.3785025834683,323.7107021645419,1.5073914780823565,711.1169794955335,2.233244462990278,0.020745367620754053,1312.9836212856228,98.71388772801288,668.939197587724,False,False,False,False,False,False,
20260904-wall-and-heating:c0002,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,65.85249730125935,368.45002659388587,1.481106717081354,477.7088429649643,2.809549466282236,0.02361253798671604,1651.8086100976925,100.78466023640743,457.10824964273814,False,False,False,False,False,False,
20260904-wall-and-heating:c0003,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,63.128963528877534,412.94366464785975,1.4587159714376303,365.9196407450801,3.432719038468021,0.026463963262563985,2018.186521304033,101.32486324948951,352.3731884896493,False,False,False,False,False,False,
20260904-wall-and-heating:c0004,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,59.56685136523413,457.21447804377294,1.4392900084486928,300.5902463858776,4.099217801756839,0.02930110856738987,2410.0388125814484,100.69370778993914,290.69534805065587,False,False,False,False,False,False,
20260904-wall-and-heating:c0005,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,73.32886058747957,304.58337438048187,1.3393755449004248,833.3801519268253,2.069669798940343,0.019519571118415076,1216.8137400594142,107.9229531114762,784.7476378266894,False,False,False,False,False,False,
20260904-wall-and-heating:c0006,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,69.17747604699537,353.75947865705336,1.3119832633410935,506.4596203792317,2.704769477049927,0.022671077554725166,1590.2056767957574,108.77239766650678,482.4486250586061,False,False,False,False,False,False,
20260904-wall-and-heating:c0007,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,62.24367237228421,402.6351710202242,1.2891890413695068,370.13438066366376,3.4011071865966924,0.025803331752726547,1999.601075584407,106.44315608808569,355.1490161902515,False,False,False,False,False,False,
20260904-wall-and-heating:c0008,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,53.02699514582173,451.2409083410869,1.2697703204362996,296.4469212849717,4.153668613162744,0.028918285575558648,2442.0518880536865,101.42920699998155,287.25181316409737,False,False,False,False,False,False,
20260904-wall-and-heating:c0009,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,41.96106822399679,499.6020207588483,1.2529212458266772,252.27279287176856,4.95817242243572,0.032017562333931354,2915.04100426667,94.16481665273659,243.98598391486289,False,False,False,False,False,False,
20260904-wall-and-heating:c0010,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,81.15080001299168,323.54918527053434,1.2186234071444788,646.0319721300724,2.346353444219532,0.020735016627349306,1379.4833897773626,121.74606058323741,612.4154445092025,False,False,False,False,False,False,
20260904-wall-and-heating:c0011,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,74.38092141917241,375.78177665965114,1.1937285785741123,423.72538894119,3.065840275877364,0.02408240150806628,1802.4887711195,120.90105806149796,406.0680369451356,False,False,False,False,False,False,
20260904-wall-and-heating:c0012,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,63.944411064629776,427.6946323251186,1.1730122979868927,321.2980936654045,3.8545542582525214,0.027409295762170532,2266.1946295237917,115.9430586703254,309.60818078513955,False,False,False,False,False,False,
20260904-wall-and-heating:c0013,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,50.40583180634371,479.3202545178443,1.1553633842035418,263.314726933555,4.7068094625496295,0.03071778233328757,2767.258056722091,107.43002505084416,254.64311450400518,False,False,False,False,False,False,
20260904-wall-and-heating:c0014,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,34.255260474666215,530.6856639037243,1.1400494471077165,226.54876007324222,5.617753401928732,0.03400959287144818,3302.8261470657103,95.85257634662162,220.94898265249475,False,False,False,False,False,False,
20260904-wall-and-heating:c0015,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,92.14995210003474,342.57532425181887,1.1144359442920682,528.939155880238,2.6320966619158064,0.02195432833045661,1547.4794022812089,139.427307812352,504.98993900321886,False,False,False,False,False,False,
20260904-wall-and-heating:c0016,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,83.21600099980691,397.8789367325944,1.0916716226565344,365.0760687044274,3.4391562342224744,0.025498523082121763,2021.9711193328983,137.46974405015203,353.1505093180821,False,False,False,False,False,False,
20260904-wall-and-heating:c0017,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,69.70485218013005,452.8439579719713,1.0727282251785641,285.99223662412925,4.323855339788583,0.02902101882992633,2542.109176148668,130.4387991842387,276.5424209705028,False,False,False,False,False,False,
20260904-wall-and-heating:c0018,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,52.247130288453945,507.50481446753105,1.056589659501973,238.7076230406331,5.279815495008384,0.032524021835027075,3104.1434931282884,118.9569450604638,231.52658260145162,False,False,False,False,False,False,
20260904-wall-and-heating:c0019,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,31.39059457185556,561.8901256819513,1.04258621320428,208.15993251383654,6.301593383790769,0.036009366208160525,3704.873800443916,103.57198820842063,203.5470262079939,False,False,False,False,False,False,
